"","Genero","Carrera","Ciclo_2022_2","Cursos_2022_1","Cursos_2022_2","Sueño_2022_1","Sueño_2022_2","Clases_promedio_2022_1","Clases_promedio_2022_2","Promedio_2022_1","Promedio_2022_2","Cursos_aprobados_2022_1","Cursos_aprobados_2022_2","Horas_libres_2022_1","Horas_libres_2022_2","Estrés_2022_1","Estrés_2022_2","Interes_2022_2","Conocimiento","Uso","Asistencia","Tiempo_espera","Debilidades","Apoyo","Satisfaccion","Razones_no_uso","Sesiones_minimas","Modalidad","Medios"
"11","Femenino","INGENIERÍA INDUSTRIAL","6to ciclo",3,4,7,6,3,4,17.5,17.83,3,4,5,4,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"12","Masculino","INGENIERÍA QUÍMICA","4rto ciclo",4,4,7,7,6,5,11.67,14.08,3,3,3,4,"Alto","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"13","Femenino","INGENIERÍA AMBIENTAL","3er ciclo",6,6,6,6,6,6,14.3,14,6,6,4,4,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",1,"Presenciales","Redes sociales, Volantes en la universidad"
"14","Masculino","INGENIERÍA CIVIL","4rto ciclo",7,6,4,4,7,7,14.56,13.4,7,5,2,4,"Muy alto","Alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional"
"15","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",5,6,8,6,3,4,17.05,16.04,5,6,6,3,"Bajo","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"16","Masculino","INGENIERÍA AMBIENTAL","4rto ciclo",7,6,5,5.5,8,5,15.5,16.6,6,7,4.2,4.2,"Medio","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",1,"Presenciales","Redes sociales"
"17","Otros","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,6,8,4,3,17.1,16.9,6,1,1,3,"Muy alto","Medio","Poco interesado","No","Si",1,7,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",5,"Virtuales","Redes sociales, Correo Institucional"
"18","Masculino","INGENIERÍA MECÁNICA","2do ciclo",7,6,7,7.5,4,4,14.4,12.33,7,4,4.5,4,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"19","Masculino","INGENIERÍA MECÁNICA","2do ciclo",7,6,7.5,7.5,4,4,17.45,17.34,7,5,5.5,4,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"20","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,4,5,7,6,18,16,7,6,4,5,"Muy alto","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"21","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",7,6,7,5.5,6,6,14.02,13.75,6,5,6,5,"Medio","Alto","Poco interesado","Si","Si",2,3,"Respuestas tardías","Apoyado",4,"",2,"Presenciales","Correo Institucional, CHARLAS"
"22","Masculino","BIOINGENIERÍA","4rto ciclo",7,7,6,6,5,4,16,12,7,5,2,3,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional"
"23","Femenino","BIOINGENIERÍA","3er ciclo",7,5,4,5,6,4,14.16,13.5,4,4,3,3,"Alto","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",3,"Presenciales","Redes sociales, CHARLAS"
"24","Femenino","INGENIERÍA CIVIL","4rto ciclo",6,6,6,5.5,6,8,13.4,14.3,4,6,4,4.5,"Muy alto","Alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Presenciales","Correo Institucional, Volantes en la universidad"
"25","Masculino","CIENCIA DE LA COMPUTACIÓN","3er ciclo",3,3,8,7,4,4,12,11,3,3,3,3,"Medio","Alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Redes sociales, Correo Institucional"
"26","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,7,6.5,4,4,17.57,16.75,6,6,3,4,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional"
"27","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,5,6,7,6,14.5,13.07,7,5,2,4,"Medio","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Anuncios del Canvas"
"28","Otros","INGENIERÍA INDUSTRIAL","4rto ciclo",6,6,9,3,9,3,13,11,6,6,6,6,"Bajo","Bajo","Poco interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",2,"Virtuales","Correo Institucional"
"29","Masculino","BIOINGENIERÍA","3er ciclo",7,6,7.5,6.5,7,6,15.25,13.86,7,5,2.5,3.5,"Medio","Medio","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",2,"Virtuales","Redes sociales, Correo Institucional, CHARLAS"
"30","Femenino","INGENIERÍA QUÍMICA","2do ciclo",7,5,6,5,5,4,17.1,15.59,7,5,2,3,"Medio","Alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"31","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,5,7,8,6,5,15.23,14.32,7,5,4,3,"Alto","Muy alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Volantes en la universidad"
"32","Masculino","CIENCIA DE DATOS","2do ciclo",5,5,6,7,4,4,16.5,16.2,5,5,3,2,"Muy alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"33","Femenino","BIOINGENIERÍA","3er ciclo",7,5,6,4,6,4,11,12.2,4,5,2,4,"Alto","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",5,"Presenciales","Volantes en la universidad"
"34","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",6,6,1,7,6,6,19,18,6,6,0,0,"Muy alto","Muy alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"35","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,6,6,6,6,6,18.35,17.35,6,6,2,1,"Alto","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional"
"36","Otros","BIOINGENIERÍA","2do ciclo",6,5,4,5,6,7,13.4,14.2,4,5,5,4.5,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"37","Femenino","BIOINGENIERÍA","2do ciclo",5,6,7,7,4,5,15.46,13.45,6,6,3.5,3.5,"Alto","Alto","Poco interesado","Si","Si",3,7,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",3,"",3,"Virtuales","Redes sociales, Correo Institucional"
"38","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,7,7,6,15.5,16,7,6,4,4,"Medio","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"39","Masculino","CIENCIA DE DATOS","2do ciclo",6,4,7.5,6,5,3,12.6,14.8,5,4,3.5,2,"Medio","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado, Malas referencias, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito, No sabia",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"40","Masculino","INGENIERÍA CIVIL","3er ciclo",6,7,5,5,6,7,17,16,6,6,2,2,"Alto","Muy alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza, Considero que no lo necesito",1,"Virtuales","Redes sociales, Correo Institucional"
"41","Femenino","INGENIERÍA CIVIL","3er ciclo",6,5,5,4,4,5,14.45,13.35,6,5,2,3,"Medio","Medio","Muy interesado","Si","Si",2,2,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",5,"",3,"Presenciales","Redes sociales"
"42","Femenino","BIOINGENIERÍA","4rto ciclo",5,4,6.5,7.3,4,3,16.11,15.31,5,4,3.1,2.3,"Medio","Bajo","Poco interesado","Si","Si",1,10,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",2,"Presenciales","Volantes en la universidad"
"43","Masculino","INGENIERÍA ELECTRÓNICA","3er ciclo",6,6,8,8,8,7,16.13,14.34,5,5,2,3,"Alto","Alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"44","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",7,7,6,6,5,6,14.35,14.75,6,6,3,3,"Muy alto","Alto","Muy interesado","Si","Si",1,2,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"45","Masculino","INGENIERÍA MECATRÓNICA","5to ciclo",7,7,6,3,8,9,16.12,15.36,7,7,4,2,"Medio","Muy alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"46","Otros","INGENIERÍA QUÍMICA","9no ciclo",2,1,6,7,3,2,20,5,2,1,3,5,"Bajo","Bajo","Muy interesado","Si","Si",1,4,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas","Apoyado",2,"",2,"Presenciales","Correo Institucional"
"47","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,7,6,6,9,8,15,15,7,7,3,2,"Alto","Medio","Poco interesado","Si","Si",1,2,"Las agendas de los psicólogos suelen estar llenas","Apoyado",5,"",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"48","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",5,5,7,6,5,5,13,15,3,5,2,2,"Medio","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Malas referencias, No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional"
"49","Masculino","INGENIERÍA ELECTRÓNICA","4rto ciclo",5,5,6,6,6,5,14,14.3,5,4,6,5,"Alto","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, Miedo y vergüenza",2,"Presenciales","Volantes en la universidad, CHARLAS"
"50","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,5,5,5,14.68,16.95,6,6,6,4,"Muy alto","Medio","Nada interesado","Si","Si",5,5,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",5,"",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS, Todos los medios posibles para hacer llegar la importancia del programa"
"51","Femenino","INGENIERÍA CIVIL","4rto ciclo",6,5,6,5,8,5,12.71,13.95,4,4,2,3,"Muy alto","Muy alto","Muy interesado","Si","Si",1,1,"La página Web “Registra tu cita” tiene problemas","Apoyado",5,"",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"52","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,7,7,8,5,15.95,15.47,7,6,1.5,1,"Alto","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"53","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,6,5,6,7,14.5,13.07,7,5,2,4,"Medio","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"54","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",6,6,5.5,4.5,8,8,13.4,11.4,6,4,3,3,"Bajo","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Presenciales","Correo Institucional, Volantes en la universidad"
"55","Masculino","INGENIERÍA CIVIL","4rto ciclo",6,6,4,4,5,6,16,16,6,6,3,3.5,"Alto","Muy alto","Poco interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Volantes en la universidad"
"56","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,5,5,6,6,4,13.7,13.55,6,4,4,4,"Alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre",3,"Presenciales","Correo Institucional, CHARLAS"
"57","Femenino","INGENIERÍA AMBIENTAL","2do ciclo",1,7,8,4,3,6,16,12,1,5,4,1,"Medio","Muy alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"58","Femenino","INGENIERÍA CIVIL","3er ciclo",5,5,6,5,6,6,14,15.8,4,5,2,2,"Alto","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",1,"Virtuales","Redes sociales, Volantes en la universidad, CHARLAS"
"59","Masculino","INGENIERÍA MECÁNICA","6to ciclo",5,5,7,7,6,6,12,12,5,5,4,4,"Medio","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"60","Masculino","BIOINGENIERÍA","2do ciclo",7,7,4,4,7,7,16.05,15.11,7,6,3,3,"Alto","Muy alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"Miedo y vergüenza",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"61","Masculino","BIOINGENIERÍA","3er ciclo",8,8,4.5,5,9,9,15,14,8,8,1,1,"Muy alto","Muy alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Presenciales","Volantes en la universidad"
"62","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,6,7,6.5,6,6,18.15,17.03,7,6,4.5,3.5,"Bajo","Medio","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",3,"Presenciales","Redes sociales, Correo Institucional"
"63","Masculino","INGENIERÍA INDUSTRIAL","2do ciclo",7,5,7,7,5,3,14.39,15.34,7,5,3,5,"Alto","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"64","Femenino","BIOINGENIERÍA","3er ciclo",5,6,7,4,4,5,14.7,14.2,5,5,3,1,"Bajo","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",1,"Virtuales","Correo Institucional, Volantes en la universidad, CHARLAS"
"65","Masculino","INGENIERÍA CIVIL","3er ciclo",6,6,7,7,5,6,16.38,14.57,6,6,4,3,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",1,"Presenciales","Redes sociales, Correo Institucional"
"66","Femenino","INGENIERÍA INDUSTRIAL","2do ciclo",7,7,6,5,5,5,16.9,16.9,7,7,2,2,"Medio","Medio","Nada interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Considero que no lo necesito",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, CHARLAS"
"67","Masculino","INGENIERÍA MECATRÓNICA","2do ciclo",7,6,8,6.6,5,6,18.3,18.75,7,6,6,4,"Bajo","Alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"Cometí un error y no se reservo la cita",5,"Presenciales","Redes sociales, Correo Institucional, CHARLAS"
"68","Femenino","BIOINGENIERÍA","3er ciclo",7,7,6,5,9,9,15.1,15.8,7,7,5,5,"Muy alto","Muy alto","Muy interesado","Si","Si",5,30,"Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Muy apoyado",5,"",2,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"69","Masculino","INGENIERÍA ELECTRÓNICA","4rto ciclo",6,6,3.5,4.5,7,7,15.66,16.55,6,6,3.5,4.5,"Muy alto","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional"
"70","Masculino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,7,8,5,5,16.75,15.74,6,5,1,2,"Medio","Medio","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No había horarios disponibles acorde a mi tiempo libre, Considero que no lo necesito",3,"Presenciales","Redes sociales, Correo Institucional"
"71","Femenino","INGENIERÍA INDUSTRIAL","3er ciclo",6,6,6,5.5,6,6,15.32,15.32,6,6,5,4,"Alto","Alto","Poco interesado","No","Si",2,2,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",4,"",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"72","Femenino","INGENIERÍA MECÁNICA","4rto ciclo",6,6,6.5,7,4,4,15.8,16.75,6,6,4,4,"Muy alto","Medio","Poco interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo",2,"Virtuales","Redes sociales, Correo Institucional"
"73","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,6,5.5,4.5,5,5,17.8,18,6,6,4,3,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",3,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"74","Masculino","CIENCIA DE LA COMPUTACIÓN","4rto ciclo",6,5,7,6,6,6,16.33,13.5,6,3,3,3,"Bajo","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"Considero que no lo necesito",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"75","Masculino","CIENCIA DE DATOS","2do ciclo",7,6,8,7,7,7,14.9,14.5,7,6,3,3,"Alto","Alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado, No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre, Miedo y vergüenza",2,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"76","Femenino","INGENIERÍA ELECTRÓNICA","2do ciclo",6,6,5,5,4,5,18.05,17.37,6,6,5,4,"Medio","Medio","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, No había horarios disponibles acorde a mi tiempo libre",1,"Presenciales","Redes sociales, Correo Institucional"
"77","Masculino","INGENIERÍA CIVIL","4rto ciclo",5,5,6,7,4,4,14,16,3,5,3,5,"Medio","Bajo","Muy interesado","Si","Si",3,7,"Las agendas de los psicólogos suelen estar llenas","Apoyado",3,"",3,"Presenciales","Redes sociales, Correo Institucional, Charlas"
"78","Masculino","CIENCIA DE LA COMPUTACIÓN","4rto ciclo",5,5,6,6,6,7,17.65,16.34,5,5,3,3,"Medio","Alto","Nada interesado","Si","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Presenciales","Redes sociales"
"79","Masculino","CIENCIA DE LA COMPUTACIÓN","5to ciclo",3,4,4,2,2,3,14.38,15.98,3,2,1,0,"Alto","Muy alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No contaba con tiempo",5,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad"
"80","Femenino","BIOINGENIERÍA","4rto ciclo",5,4,5,7,6,4,13,14,4,4,3,4,"Muy alto","Bajo","Muy interesado","Si","Si",1,2,"Mala actitud del personal de servicio","Poco apoyado",1,"",5,"Presenciales","Redes sociales, Volantes en la universidad, Charlas"
"81","Masculino","CIENCIA DE LA COMPUTACIÓN","5to ciclo",6,6,6,6,7,7,16,16,6,6,3,3,"Alto","Alto","Muy interesado","Si","Si",3,4,"Las agendas de los psicólogos suelen estar llenas","Muy apoyado",5,"",2,"Virtuales","Charlas"
"82","Femenino","CIENCIA DE DATOS","2do ciclo",5,6,6,6,5,4,15,14,6,6,4,3,"Bajo","Bajo","Muy interesado","Si","Si",2,15,"Las agendas de los psicólogos suelen estar llenas","Poco apoyado",4,"",2,"Virtuales","Correo Institucional"
"83","Femenino","INGENIERÍA AMBIENTAL","5to ciclo",3,4,5,5,5,5,11,12,3,4,3,3,"Muy alto","Muy alto","Muy interesado","Si","Si",2,14,"Las agendas de los psicólogos suelen estar llenas","Apoyado",4,"",3,"Virtuales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"84","Masculino","ADMINISTRACIÓN Y NEGOCIOS DIGITALES","2do ciclo",6,6,9,4,6,6,16,14,6,5,5,3,"Bajo","Alto","Poco interesado","Si","No",NA,NA,NA,NA,NA,"No contaba con tiempo, Considero que no lo necesito",3,"Virtuales","Correo Institucional, Volantes en la universidad, Charlas"
"85","Femenino","BIOINGENIERÍA","6to ciclo",7,6,5,6,5,5,18,16.5,7,6,6,6,"Alto","Muy alto","Muy interesado","Si","No",NA,NA,NA,NA,NA,"Habían problemas con la página web",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad, Charlas"
"86","Femenino","INGENIERÍA INDUSTRIAL","4rto ciclo",6,4,5,4,8,5,12,11,6,4,3,5,"Alto","Alto","Muy interesado","Si","Si",3,7,"La página Web “Registra tu cita” tiene problemas, Respuestas tardías","Apoyado",3,"",2,"Presenciales","Redes sociales, Volantes en la universidad"
"87","Femenino","BIOINGENIERÍA","6to ciclo",7,7,6,6,7,7,14.5,13.5,6,7,4,3,"Medio","Alto","Muy interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",2,"Virtuales","Redes sociales, Correo Institucional, Charlas"
"88","Femenino","BIOINGENIERÍA","5to ciclo",6,6,3,5,9,8,16.67,17.87,6,7,3.5,4,"Muy alto","Muy alto","Poco interesado","Si","Si",1,7,"La página Web “Registra tu cita” tiene problemas, Las agendas de los psicólogos suelen estar llenas, Respuestas tardías","Apoyado",4,"",5,"Presenciales","Redes sociales, Correo Institucional, Volantes en la universidad"
"89","Masculino","CIENCIA DE LA COMPUTACIÓN","2do ciclo",6,8,7.5,4.5,4,6,15.8,13.9,6,7,6,4,"Medio","Muy alto","Nada interesado","No","No",NA,NA,NA,NA,NA,"No estaba enterado",3,"Virtuales","Redes sociales, Charlas"
