"","Codigo","Sexo","Edad","CicloActual","HaciaActividadBool","NumActividadesRealizadas","TipoActividadRealizada","ActividadFavorita","TiempoDedicadoAE","EscalaSentimiento","EscalaAbrumado","CantidadCursos","Promedio","AbrumadoPorCursosBool","RetiroBool","TiempoDedicadoCursos"
"18",201810022,"Hombre",20,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2,5,3,7,12,"Sí","No",4
"19",201910032,"Hombre",19,5,"Sí",4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",4,4,5,5,18,"Sí","No",5
"20",73063562,"Hombre",21,4,"No",NA,NA,NA,NA,NA,NA,5,14,"No","Sí",1
"21",202010481,"Hombre",17,3,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4,5,1,8,12,"Sí","Sí",3
"22",201920027,"Hombre",19,4,"Sí",2,"Actividades Académicas","Actividades Académicas",1,4,3,7,18,"Sí","No",4
"23",201910449,"Mujer",19,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",5,5,3,7,15,"No","No",5
"24",201910411,"Hombre",23,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,5,3,5,16,"Sí","No",4
"25",201920097,"Hombre",22,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Deportivas/Físicas",1,3,3,4,11,"No","No",4
"26",201910132,"Hombre",19,5,"No",NA,NA,NA,NA,NA,NA,9,16,"No","No",3
"27",201920106,"Hombre",20,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4,5,3,7,15,"Sí","Sí",3
"28",201810581,"Mujer",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",2,4,3,7,17,"Sí","No",4
"29",201920152,"Hombre",19,4,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",5,5,3,5,16,"No","No",4
"30",201910330,"Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,5,12,"Sí","No",4
"31",201910453,"Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",7,4,2,5,13,"Sí","Sí",4
"32",201910339,"Hombre",19,5,"Sí",1,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",1,4,2,7,14,"Sí","No",5
"33",201910061,"Mujer",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",6,5,3,6,16,"Sí","No",4
"34",201910013,"Mujer",20,4,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,5,1,2,6,"Sí","No",3
"35",202010188,"Mujer",17,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2,2,5,7,16,"Sí","No",6
"36",201810653,"Hombre",21,7,"Sí",4,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,4,4,6,16,"Sí","No",6
"37",201820066,"Mujer",20,6,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,5,2,5,17,"No","No",1
"38",201920050,"Mujer",18,4,"No",NA,NA,NA,NA,NA,NA,6,19,"No","No",6
"39",201810385,"Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,5,1,5,14,"Sí","Sí",6
"40",201910325,"Hombre",18,5,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",3,4,2,7,19,"Sí","No",5
"41",201910021,"Hombre",18,5,"Sí",2,"Actividades Académicas","Actividades Académicas",5,5,5,5,14,"Sí","Sí",5
"42",202110666,"Hombre",17,1,"No",NA,NA,NA,NA,NA,NA,6,14,"Sí","No",1
"43",201910302,"Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2,4,1,7,14,"Sí","No",4
"44",201910388,"Hombre",22,5,"Sí",1,"Actividades Académicas","Actividades Académicas",1,2,1,6,16,"No","No",6
"45",201910385,"Hombre",19,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",2,4,3,5,11,"Sí","No",5
"46",201910344,"Mujer",19,4,"Sí",1,"Actividades Académicas","Actividades Académicas",2,4,3,6,14,"No","No",2
"47",202010076,"Hombre",18,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",4,4,1,8,15,"Sí","No",5
"48",201820054,"Mujer",21,6,"Sí",4,"Actividades Académicas","Actividades Académicas",8,4,2,6,16,"Sí","No",5
"49",201910212,"Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2,5,2,5,16,"No","No",4
"50",201920058,"Hombre",19,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4,4,1,5,14,"Sí","No",5
"51",201720048,"Mujer",21,5,"Sí",4,"Actividades Académicas","Actividades Académicas",2,4,2,6,14,"No","No",6
"52",201710144,"Hombre",21,8,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",5,4,2,4,15,"Sí","Sí",5
"53",201820045,"Hombre",20,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3,4,3,8,17,"Sí","Sí",6
"54",201910327,"Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",1,4,1,6,15,"Sí","Sí",5
"55",201910376,"Hombre",19,2,"Sí",1,"Actividades Académicas","Actividades Académicas",4,3,1,6,13,"No","No",4
"56",201910125,"Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2,4,1,7,15,"Sí","Sí",5
"57",202110682,"Hombre",20,1,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Actividades Académicas",4,5,1,6,16,"No","Sí",5
"58",201920020,"Hombre",19,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",2,5,1,7,17,"Sí","No",4
"59",201910323,"Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,5,1,5,13,"Sí","Sí",6
"60",201920110,"Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",4,4,4,7,13,"Sí","No",5
"61",201910335,"Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",2,5,4,6,16,"Sí","No",4
"62",201810095,"Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,3,5,7,16,"Sí","Sí",5
"63",201920109,"Hombre",18,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",2,4,1,6,14,"No","No",5
"64",202110713,"Hombre",18,1,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Emprendimiento/Trabajo",2,4,2,2,11,"Sí","No",5
"65",201920139,"Mujer",20,3,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",5,2,5,6,13,"Sí","Sí",4
"66",201810218,"Mujer",20,6,"Sí",3,"Emprendimiento/Trabajo","Actividades Académicas",5,5,2,4,15,"No","Sí",5
"67",202010600,"Hombre",18,3,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,4,3,8,17,"No","No",4
"68",202010168,"Hombre",18,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2,4,3,7,16,"Sí","No",6
"69",201920028,"Hombre",19,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",1,4,2,6,15,"No","Sí",4
"70",202010209,"Hombre",18,3,"Sí",1,"Actividades Académicas","Actividades Académicas",3,4,3,7,16,"No","No",4
"71",201910146,"Hombre",19,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3,5,1,5,15,"No","Sí",2
"72",201610353,"Hombre",22,9,"Sí",8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,4,2,4,16,"No","No",6
"73",201910304,"Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",3,4,3,6,16,"Sí","No",3
"74",201910249,"Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",1,3,4,5,17,"No","No",4
"75",201710157,"Mujer",20,4,"Sí",3,"Actividades Académicas","Actividades Académicas",4,2,4,4,13,"Sí","No",5
"76",201810185,"Mujer",20,7,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",1,5,2,6,15,"Sí","No",6
"77",201810432,"Hombre",21,7,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2,5,2,4,13,"No","No",4
"78",201810408,"Hombre",20,6,"Sí",3,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",2,5,3,5,15,"No","No",6
"79",201910305,"Mujer",20,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,5,2,6,17,"Sí","No",5
"80",201910386,"Hombre",21,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,4,1,7,16,"No","No",3
"81",201820043,"Mujer",20,6,"Sí",5,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3,5,3,5,14,"No","No",3
"82",201910281,"Mujer",20,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",6,5,3,6,17,"No","No",3
"83",201910370,"Mujer",24,5,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,3,4,7,16,"Sí","No",3
"84",201910392,"Mujer",18,5,"No",NA,NA,NA,NA,NA,NA,6,16,"Sí","No",6
"85",201910252,"Hombre",19,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",1,4,3,6,17,"No","No",2
"86",202010262,"Mujer",19,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",1,4,2,8,18,"Sí","Sí",4
"87",201910244,"Hombre",18,5,"Sí",4,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",6,4,4,7,17,"Sí","No",5
"88",201810209,"Mujer",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",4,5,4,6,16,"Sí","No",5
"89",201910186,"Mujer",18,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2,3,4,5,14,"No","No",2
"90",201920033,"Hombre",22,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",2,4,1,8,13,"Sí","No",4
"91",201610478,"Hombre",22,7,"Sí",5,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",2,5,1,4,13,"No","No",2
"92",74128399,"Hombre",20,7,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,5,2,7,15,"Sí","No",4
"93",201910328,"Hombre",19,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",3,5,1,4,15,"Sí","No",2
"94",201710167,"Hombre",22,7,"No",NA,NA,NA,NA,NA,NA,5,14,"Sí","Sí",3
"95",201910333,"Hombre",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,4,1,6,19,"Sí","No",3
"96",201610275,"Hombre",22,6,"No",NA,NA,NA,NA,NA,NA,6,13,"Sí","No",4
"97",201910346,"Hombre",19,4,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2,4,2,5,15,"Sí","Sí",4
"98",201910329,"Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",1,5,3,7,18,"No","No",2
"99",201910345,"Hombre",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",2,3,4,7,15,"Sí","No",4
"100",201920162,"Hombre",23,5,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4,5,5,8,16,"Sí","No",5
"101",201520160,"Hombre",22,9,"Sí",9,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",5,5,1,3,15,"No","No",3
"102",201820118,"Hombre",20,6,"Sí",8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",7,3,3,7,15,"Sí","Sí",4
"103",201910380,"Hombre",21,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",5,5,3,7,15,"Sí","No",4
"104",201910399,"Mujer",19,5,"Sí",6,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",3,3,3,5,15,"Sí","Sí",6
"105",201920015,"Mujer",19,4,"Sí",3,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",7,5,4,5,14,"No","Sí",4
"106",201610509,"Hombre",23,10,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",9,3,3,4,16,"No","No",2
"107",201910081,"Mujer",20,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",3,4,1,5,15,"No","No",6
"108",201910257,"Hombre",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2,5,1,6,17,"No","No",5
"109",201920941,"Mujer",20,2,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4,5,1,2,16,"No","No",2
"110",201920100,"Hombre",18,2,"No",NA,NA,NA,NA,NA,NA,5,14,"Sí","Sí",3
"111",201820011,"Hombre",20,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2,3,3,6,6,"Sí","Sí",4
"112",201910286,"Hombre",19,4,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",5,4,2,5,14,"No","No",4
"113",201920057,"Hombre",20,4,"No",NA,NA,NA,NA,NA,NA,6,14,"No","Sí",4
"114",202010320,"Mujer",18,3,"Sí",2,"Actividades Académicas","Actividades Académicas",8,3,3,7,16,"Sí","No",3
"115",201910458,"Hombre",19,3,"Sí",2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",3,5,2,4,13,"No","Sí",4
"116",201920022,"Hombre",19,4,"No",NA,NA,NA,NA,NA,NA,5,12,"No","Sí",4
"117",201920042,"Mujer",19,4,"No",NA,NA,NA,NA,NA,NA,8,17,"Sí","Sí",3
"118",201910256,"Mujer",19,5,"Sí",3,"Actividades Académicas","Actividades Académicas",6,4,4,6,16,"Sí","No",3
"119",202010389,"Hombre",19,3,"No",NA,NA,NA,NA,NA,NA,7,16,"Sí","No",3
"120",201920014,"Hombre",21,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",6,3,5,7,15,"Sí","Sí",5
"121",201710493,"Mujer",22,7,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",2,4,2,5,15,"Sí","No",5
"122",202010167,"Hombre",18,3,"No",NA,NA,NA,NA,NA,NA,8,17,"Sí","Sí",1
"123",201910062,"Mujer",19,5,"Sí",6,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3,4,3,4,14,"No","No",4
"124",202010103,"Hombre",18,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",4,4,1,8,15,"No","No",3
"125",201610046,"Hombre",29,10,"Sí",4,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",4,4,4,5,15,"Sí","No",4
"126",201810220,"Hombre",21,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",5,4,3,3,13,"Sí","Sí",3
"127",201910324,"Mujer",19,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",4,4,3,4,14,"No","No",5
"128",202010367,"Mujer",18,2,"Sí",1,"Actividades Académicas","Actividades Académicas",3,3,2,5,13,"No","No",4
"129",202010258,"Hombre",18,3,"Sí",1,"Actividades Académicas","Actividades Académicas",2,3,3,7,16,"Sí","No",2
"130",202110460,"Mujer",19,1,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",4,5,1,2,17,"No","No",6
"131",202110301,"Mujer",17,1,"Sí",4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",7,5,2,9,17,"Sí","No",5
"132",202010217,"Hombre",21,3,"Sí",5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",7,4,2,8,19,"Sí","No",1
"133",201910026,"Mujer",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Deportivas/Físicas",5,5,1,4,16,"Sí","Sí",3
"134",201910404,"Hombre",19,3,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",6,5,1,4,13,"No","No",3
"135",202110673,"Hombre",17,1,"No",NA,NA,NA,NA,NA,NA,8,14,"No","No",3
"136",201820039,"Mujer",23,4,"No",NA,NA,NA,NA,NA,NA,7,15,"Sí","No",2
"137",201910290,"Hombre",18,5,"No",NA,NA,NA,NA,NA,NA,6,16,"No","No",6
"138",201910008,"Mujer",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",5,5,2,6,11,"Sí","Sí",4
"139",201910152,"Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2,5,1,6,18,"No","Sí",4
"140",201910100,"Mujer",19,5,"No",NA,NA,NA,NA,NA,NA,7,17,"Sí","No",5
"141",201810178,"Hombre",20,7,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",3,5,1,5,16,"No","No",4
"142",201910450,"Mujer",22,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",7,5,1,4,13,"Sí","No",4
"143",201710352,"Hombre",21,7,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2,4,1,5,13,"Sí","No",4
"144",201910020,"Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2,4,2,6,19,"No","No",4
"145",201610052,"Mujer",22,7,"No",NA,NA,NA,NA,NA,NA,4,15,"Sí","No",2
"146",201910438,"Hombre",18,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",3,4,3,7,17,"Sí","No",4
"147",201810516,"Hombre",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3,5,2,6,16,"Sí","No",5
"148",201910419,"Mujer",20,4,"Sí",1,"Actividades Académicas","Actividades Académicas",2,4,2,5,17,"No","No",2
"149",201610516,"Hombre",24,8,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",3,5,3,5,13,"No","No",4
"150",201810044,"Hombre",23,6,"No",NA,NA,NA,NA,NA,NA,6,15,"Sí","No",4
"151",201720079,"Hombre",21,8,"No",NA,NA,NA,NA,NA,NA,7,18,"Sí","No",4
"152",201710424,"Hombre",21,7,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2,5,3,7,13,"Sí","No",3
"153",201910394,"Hombre",22,2,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",9,4,2,3,10,"Sí","Sí",5
"154",201920002,"Mujer",19,4,"No",NA,NA,NA,NA,NA,NA,5,14,"Sí","No",3
