Sexo,Edad:,Ciclo académico que cursas:,"¿El ciclo pasado realizabas alguna actividad extracurricular? (Dirigir un emprendimiento, realizar deportes, estudiar un nuevo idioma, videojuegos, etc.)",¿Cuántas actividades extracurriculares realizaste el ciclo pasado?,¿ Qué tipo de actividades extracurriculares realizabas?  ,¿A qué tipo de actividad extracurricular le dedicaste más tiempo? ,"Tiempo diario dedicado, en horas, a las actividades extracurriculares:","¿Qué tan bien te sentías al realizar las actividades extracurriculares? (1: me sentía mal (las realizaba contra mi voluntad, no me agradaban, etc.) , 3: me sentía igual que al no realizarlas, 5: me sentía excelente)","¿Qué tan abrumado/a te sentías al realizar las actividades extracurriculares? (1: no tan abrumado, 5: muy abrumado)",Cantidad de cursos que llevaste el ciclo pasado,Promedio académico aproximado del ciclo pasado,¿Te sentías abrumado por la cantidad de cursos?,"En el ciclo pasado, ¿te retiraste de algún curso por falta de tiempo?","¿Qué tiempo le dedicaste a tus cursos diariamente? (horas) , sin contar las horas de clases "
Mujer,19,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,6.34,5,3,6,16.04,Sí,No,4
Hombre,19,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.12,4,1,7,14.66,Sí,No,4
Hombre,19,5,Sí,2,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,2.18,4,3,5,11.44,Sí,No,5
Hombre,19,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,2.8,5,2,5,16.15,No,No,4
Hombre,19,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,1.02,4,1,6,15.56,Sí,Sí,5
Hombre,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,2.69,4,1,7,15.18,Sí,Sí,5
Hombre,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Académicas,2.29,5,4,6,16.66,Sí,No,4
Hombre,19,5,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.33,5,1,5,15.99,No,Sí,2
Hombre,19,5,Sí,2,"Actividades Deportivas/Físicas, Actividades Académicas",Actividades Académicas,1.89,3,4,5,17.61,No,No,4
Mujer,19,5,Sí,6,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,3.92,3,3,5,15.97,Sí,Sí,6
Mujer,19,5,Sí,3,Actividades Académicas,Actividades Académicas,6.23,4,4,6,16.69,Sí,No,3
Mujer,19,5,Sí,6,"Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,3.78,4,3,4,14.83,No,No,4
Mujer,19,5,Sí,1,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,4.75,4,3,4,14.25,No,No,5
Mujer,19,5,Sí,3,"Actividades Deportivas/Físicas, Actividades Académicas",Actividades Deportivas/Físicas,5.48,5,1,4,16.64,Sí,Sí,3
Mujer,19,5,Sí,2,Actividades de Ocio,Actividades de Ocio,5.99,5,2,6,11.89,Sí,Sí,4
Hombre,19,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.75,5,1,6,18.01,No,Sí,4
Hombre,19,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,2.16,4,2,6,19.19,No,No,4
Mujer,20,5,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.07,5,3,6,17.01,Sí,No,5
Mujer,20,5,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,1.79,3,3,7,16.83,Sí,No,6
Hombre,20,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo",Emprendimiento/Trabajo,3.48,4,3,8,17.45,Sí,Sí,6
Mujer,20,5,Sí,2,"Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,5,5,2,6,17.72,Sí,No,5
Mujer,20,5,Sí,2,Actividades de Ocio,Actividades de Ocio,6.38,5,3,6,17.41,No,No,3
Hombre,20,5,Sí,1,Actividades Académicas,Actividades Académicas,2.85,3,4,7,15.16,Sí,No,4
Hombre,20,5,Sí,1,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,2.78,3,3,7,6.55,Sí,Sí,4
Mujer,21,5,Sí,4,Actividades Académicas,Actividades Académicas,2.06,4,2,6,14.72,No,No,6
Hombre,21,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,2.6,4,1,7,16.79,No,No,3
Hombre,21,5,Sí,3,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades Deportivas/Físicas,5.39,5,3,7,15.65,Sí,No,4
Hombre,22,5,Sí,1,Actividades Académicas,Actividades Académicas,1.6,2,1,6,16.66,No,No,6
Mujer,22,5,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,7.83,5,1,4,13.44,Sí,No,4
Hombre,23,5,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.24,5,3,5,16.94,Sí,No,4
Hombre,23,5,Sí,3,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.92,5,5,8,16.55,Sí,No,5
Mujer,24,5,Sí,2,"Actividades de Ocio, Emprendimiento/Trabajo",Emprendimiento/Trabajo,5.22,3,4,7,16.84,Sí,No,3
Mujer,20,6,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,3.39,5,2,5,17.3,No,No,1
Mujer,20,6,Sí,3,Emprendimiento/Trabajo,Actividades Académicas,5.76,5,2,4,15.15,No,Sí,5
Hombre,20,6,Sí,3,"Actividades de Ocio, Emprendimiento/Trabajo",Actividades de Ocio,2.67,5,3,5,15.78,No,No,6
Mujer,20,6,Sí,5,"Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,3.15,5,3,5,14.29,No,No,3
Hombre,20,6,Sí,8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades de Ocio,7.23,3,3,7,15.28,Sí,Sí,4
Mujer,21,6,Sí,4,Actividades Académicas,Actividades Académicas,8.01,4,2,6,16.06,Sí,No,5
Hombre,22,6,Sí,1,Actividades Académicas,Actividades Académicas,1.26,4,5,4,12.01,Sí,No,5
Hombre,19,7,Sí,5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades Deportivas/Físicas,4.2,5,2,5,17.23,No,No,1
Mujer,20,7,Sí,4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades de Ocio,2.02,4,3,7,17.6,Sí,No,4
Mujer,20,7,Sí,2,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,1.01,5,2,6,15.03,Sí,No,6
Mujer,20,7,Sí,4,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,4.77,5,4,6,16.49,Sí,No,5
Hombre,20,7,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,5.98,5,2,7,15.63,Sí,No,4
Hombre,20,7,Sí,1,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,3.03,5,1,5,16.57,No,No,4
Hombre,20,7,Sí,4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,3.58,5,2,6,16.42,Sí,No,5
Hombre,21,7,Sí,4,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,5.65,4,4,6,16.06,Sí,No,6
Hombre,21,7,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,2.94,5,2,4,13.95,No,No,4
Hombre,21,7,Sí,2,"Actividades Deportivas/Físicas, Actividades de Ocio",Actividades de Ocio,2.51,4,1,5,13.84,Sí,No,4
Hombre,21,7,Sí,2,"Actividades de Ocio, Actividades Académicas",Actividades Académicas,2.49,5,3,7,13.88,Sí,No,3
Hombre,22,7,Sí,5,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades de Ocio,2.21,5,1,4,13.71,No,No,2
Mujer,22,7,Sí,3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo",Actividades Deportivas/Físicas,2.82,4,2,5,15.07,Sí,No,5
Hombre,21,8,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas",Actividades de Ocio,5.51,4,2,4,15.11,Sí,Sí,5
Hombre,24,8,Sí,4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Actividades Deportivas/Físicas,3.6,5,3,5,13.74,No,No,4
Hombre,22,9,Sí,8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo",Emprendimiento/Trabajo,5.07,4,2,4,16.12,No,No,6
Hombre,22,9,Sí,9,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,5.08,5,1,3,15.17,No,No,3
Hombre,23,10,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,9.94,3,3,4,16.48,No,No,2
Hombre,29,10,Sí,4,"Actividades Académicas, Emprendimiento/Trabajo",Actividades Académicas,4.47,4,4,5,15.95,Sí,No,4
Mujer,23,8,Sí,2,Actividades Académicas,Actividades Académicas,4.27,5,1,6,15.29,No,No,5
Mujer,19,4,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.25,5,2,5,12.58,No,Sí,6
Mujer,20,5,Sí,4,Actividades Académicas,Actividades Académicas,3.87,5,3,5,18.2,No,No,4
Hombre,19,2,Sí,5,Actividades Académicas,Actividades Académicas,3.59,5,5,7,15.27,No,No,4
Hombre,18,2,Sí,1,Actividades Académicas,Actividades Académicas,3.55,5,1,6,15,Sí,No,3
Mujer,20,5,Sí,3,Actividades Académicas,Actividades Académicas,3.31,4,4,6,16.15,No,No,6
Hombre,18,2,Sí,3,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.96,4,2,4,14.24,No,No,1
Hombre,20,5,Sí,2,Actividades Académicas,Actividades Académicas,4.02,4,2,7,13.92,Sí,Sí,6
Hombre,19,5,Sí,2,Actividades Académicas,Actividades Académicas,4.38,3,3,8,14.33,No,Sí,3
Hombre,19,3,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.37,5,1,6,16.85,No,No,5
Hombre,19,5,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.93,3,1,5,16.28,Sí,No,4
Hombre,23,5,Sí,5,Actividades Académicas,Actividades Académicas,4.95,5,2,7,15.75,No,No,5
Hombre,19,4,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.54,4,3,7,17.41,No,No,7
Mujer,18,4,Sí,6,Actividades de Ocio,Actividades de Ocio,3.9,5,2,5,16.04,No,No,5
Hombre,20,5,Sí,1,Actividades Académicas,Actividades Académicas,4.22,3,3,5,15.47,No,No,2
Hombre,19,4,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.42,4,3,7,12.35,No,No,6
Hombre,20,6,Sí,3,Actividades de Ocio,Actividades de Ocio,3.89,5,3,8,13.56,No,Sí,4
Hombre,18,4,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.13,5,5,8,14.5,No,No,5
Hombre,18,4,Sí,2,Actividades Académicas,Actividades Académicas,3.28,5,4,6,15.38,No,No,5
Hombre,19,5,Sí,2,Actividades de Ocio,Actividades de Ocio,4.38,4,2,6,19.83,No,No,6
Mujer,18,4,Sí,4,Actividades Académicas,Actividades Académicas,3.13,5,2,6,14.34,No,No,6
Hombre,19,4,Sí,2,Actividades de Ocio,Actividades de Ocio,3.83,3,2,5,17.92,No,No,4
Hombre,19,4,Sí,5,Actividades Académicas,Actividades Académicas,3.66,4,2,4,15.32,No,No,4
Hombre,20,5,Sí,3,Actividades de Ocio,Actividades de Ocio,3.84,5,2,7,15.4,No,No,3
Mujer,20,5,Sí,1,Actividades de Ocio,Actividades de Ocio,3.23,3,1,7,16.78,No,No,4
Mujer,22,5,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.34,5,3,4,14.71,No,No,3
Mujer,20,4,Sí,4,Actividades de Ocio,Actividades de Ocio,4.8,4,1,8,12.16,Sí,No,6
Mujer,22,6,Sí,4,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.45,5,3,5,14.71,No,No,5
Hombre,22,7,Sí,2,"Emprendimiento/Trabajo, Actividades de Ocio",Emprendimiento/Trabajo,4.62,5,3,6,14.93,Sí,No,3
Hombre,21,5,Sí,1,Actividades de Ocio,Actividades de Ocio,4.84,5,1,7,17.6,No,No,3
Mujer,19,5,Sí,3,Actividades de Ocio,Actividades de Ocio,4.74,4,1,5,17.28,No,No,3
Hombre,17,1,Sí,1,Actividades Académicas,Actividades Académicas,4.15,5,4,5,16.43,No,No,3
Hombre,20,6,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,5,4,1,7,14.97,No,Sí,4
Hombre,19,3,Sí,3,Actividades de Ocio,Actividades de Ocio,4.29,4,3,6,12.29,No,No,3
Hombre,22,6,Sí,3,Actividades Académicas,Actividades Académicas,4.9,5,3,6,16.02,No,No,6
Hombre,18,3,Sí,2,Actividades de Ocio,Actividades de Ocio,3.59,5,4,5,17.93,No,No,5
Hombre,19,3,Sí,2,Actividades de Ocio,Actividades de Ocio,5.08,5,1,6,15.11,Sí,No,7
Mujer,19,3,Sí,4,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.7,5,1,7,14.41,No,No,4
Hombre,20,5,Sí,4,Actividades Académicas,Actividades Académicas,4.21,3,5,6,16.09,No,No,3
Mujer,19,5,Sí,3,Actividades Académicas,Actividades Académicas,3.91,2,1,5,17.39,No,No,3
Hombre,18,3,Sí,2,Actividades Académicas,Actividades Académicas,3.58,5,1,6,16.42,No,No,3
Mujer,19,4,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.06,3,2,7,17.27,No,No,2
Hombre,19,5,Sí,5,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.54,4,5,6,13.74,Sí,No,4
Hombre,25,9,Sí,3,Actividades de Ocio,Actividades de Ocio,3.82,5,4,7,16.35,No,No,5
Hombre,20,5,Sí,1,Emprendimiento/Trabajo,Emprendimiento/Trabajo,3.27,3,5,4,17.76,No,No,5
Hombre,21,5,Sí,2,Actividades de Ocio,Actividades de Ocio,3.62,4,2,7,14.83,No,Sí,2
Hombre,22,6,Sí,2,Emprendimiento/Trabajo,Emprendimiento/Trabajo,4.71,5,2,5,16.78,No,No,4
Hombre,20,5,Sí,3,Actividades de Ocio,Actividades de Ocio,5,5,2,6,18.28,No,Sí,4
Hombre,20,5,Sí,3,Actividades de Ocio,Actividades de Ocio,4.95,4,2,8,13.94,No,Sí,2
Hombre,19,4,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.69,4,3,6,19.15,No,No,5
Hombre,20,6,Sí,1,Actividades Académicas,Actividades Académicas,4.02,4,4,6,17.97,No,No,4
Hombre,20,5,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,3.83,5,3,7,14.76,No,No,2
Hombre,20,5,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.94,4,3,5,16.81,No,No,6
Hombre,19,4,Sí,3,Actividades de Ocio,Actividades de Ocio,4.72,4,3,6,17.96,No,No,4
Mujer,19,5,Sí,3,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,5.32,5,3,7,15.56,No,No,5
Hombre,19,4,Sí,2,Actividades de Ocio,Actividades de Ocio,3.98,4,1,8,12.35,Sí,No,6
Hombre,20,5,Sí,1,Actividades Académicas,Actividades Académicas,5.89,4,4,8,13.49,Sí,No,4
Hombre,18,1,Sí,1,Actividades Académicas,Actividades Académicas,3.24,3,2,7,15.67,No,No,4
Mujer,21,8,Sí,1,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,5.67,4,2,5,16.64,No,No,4
Hombre,19,4,Sí,2,Actividades Deportivas/Físicas,Actividades Deportivas/Físicas,4.68,5,2,6,11.33,No,No,5
