"","Sexo","Edad","CicloActual","HaciaActividadBool","NumActividadesRealizadas","TipoActividadRealizada","ActividadFavorita","TiempoDedicadoAE","EscalaSentimiento","EscalaAbrumado","CantidadCursos","Promedio","AbrumadoPorCursosBool","RetiroBool","TiempoDedicadoCursos"
"18","Mujer",19,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",1.94,4,2,8,18.1,"Sí","Sí",4
"19","Hombre",19,3,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",3.09,5,1,4,15.86,"Sí","No",2
"20","Hombre",19,3,"Sí",2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",3.26,5,2,4,13.43,"No","Sí",4
"21","Hombre",19,3,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",6.97,5,1,4,13.4,"No","No",3
"22","Hombre",20,3,"Sí",2,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.51,4,4,5,16.23,"Sí","No",4
"23","Mujer",20,3,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",5.91,2,5,6,13.79,"Sí","Sí",4
"24","Hombre",21,3,"Sí",5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",7.99,4,2,8,19.87,"Sí","No",1
"25","Mujer",18,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",5.27,5,3,7,13.96,"Sí","Sí",3
"26","Hombre",18,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",2.1,4,1,6,14.94,"No","No",5
"27","Hombre",19,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.8,5,1,5,13.16,"Sí","Sí",5
"28","Hombre",19,4,"Sí",2,"Actividades Académicas","Actividades Académicas",1.71,4,3,7,18.33,"Sí","No",4
"29","Hombre",19,4,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",5.62,5,3,5,16.3,"No","No",4
"30","Mujer",19,4,"Sí",1,"Actividades Académicas","Actividades Académicas",2.9,4,3,6,14.09,"No","No",2
"31","Hombre",19,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.63,4,1,5,14.25,"Sí","No",5
"32","Hombre",19,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",2.82,5,1,7,17.73,"Sí","No",4
"33","Hombre",19,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",1.63,4,2,6,15.73,"No","Sí",4
"34","Hombre",19,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",1.72,4,3,6,17.34,"No","No",2
"35","Hombre",19,4,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2.53,4,2,5,15.42,"Sí","Sí",4
"36","Mujer",19,4,"Sí",3,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",7,5,4,5,14.88,"No","Sí",4
"37","Hombre",19,4,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",5.79,4,2,5,14.89,"No","No",4
"38","Hombre",20,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.01,5,3,7,12.35,"Sí","No",4
"39","Hombre",20,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.89,5,3,7,15.78,"Sí","Sí",3
"40","Mujer",20,4,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.56,5,1,2,6.3,"Sí","No",3
"41","Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.34,5,1,5,13.72,"Sí","Sí",6
"42","Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",4.36,4,4,7,13.97,"Sí","No",5
"43","Hombre",20,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.04,3,5,7,16.4,"Sí","Sí",5
"44","Mujer",20,4,"Sí",3,"Actividades Académicas","Actividades Académicas",4.92,2,4,4,13.96,"Sí","No",5
"45","Mujer",20,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",3.66,4,1,5,15.56,"No","No",6
"46","Mujer",20,4,"Sí",1,"Actividades Académicas","Actividades Académicas",2.88,4,2,5,17.73,"No","No",2
"47","Hombre",21,4,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",6.6,3,5,7,15.32,"Sí","Sí",5
"48","Hombre",21,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",5.55,4,3,3,13.77,"Sí","Sí",3
"49","Hombre",22,4,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Deportivas/Físicas",1.72,3,3,4,11.56,"No","No",4
"50","Hombre",22,4,"Sí",1,"Actividades de Ocio","Actividades de Ocio",2.42,4,1,8,13.57,"Sí","No",4
"51","Mujer",18,5,"Sí",3,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",4.84,4,2,7,18.67,"Sí","No",5
"52","Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.02,5,1,5,14.09,"Sí","Sí",6
"53","Hombre",18,5,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",3.11,4,2,7,19.81,"Sí","No",5
"54","Hombre",18,5,"Sí",2,"Actividades Académicas","Actividades Académicas",5.2,5,5,5,14.79,"Sí","Sí",5
"55","Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",3.29,4,3,6,16.79,"Sí","No",3
"56","Hombre",18,5,"Sí",4,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",6.6,4,4,7,17.83,"Sí","No",5
"57","Mujer",18,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2.3,3,4,5,14.76,"No","No",2
"58","Hombre",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.26,4,1,6,19.17,"Sí","No",3
"59","Mujer",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",1.77,5,3,7,18.11,"No","No",2
"60","Hombre",18,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.44,5,1,6,17.7,"No","No",5
"61","Hombre",18,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",3.4,4,3,7,17.48,"Sí","No",4
"62","Mujer",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.44,5,2,7,18.33,"Sí","No",6
"63","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.52,3,3,7,14.84,"No","No",4
"64","Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2.42,4,1,5,14.67,"Sí","Sí",4
"65","Mujer",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",6.23,4,2,5,14.37,"No","No",5
"66","Mujer",19,5,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",2.01,4,3,5,15.66,"No","No",5
"67","Hombre",19,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4,5,2,5,14.06,"Sí","No",3
"68","Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",5.94,5,3,6,16.2,"No","Sí",5
"69","Hombre",19,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.99,5,2,6,17.46,"Sí","No",5
"70","Hombre",19,5,"Sí",1,"Actividades Académicas","Actividades Académicas",1.17,4,4,5,18.93,"No","No",3
"71","Hombre",19,5,"Sí",4,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",4.45,4,5,5,18.77,"Sí","No",5
"72","Mujer",19,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",5.56,5,3,7,15.15,"No","No",5
"73","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",7.9,4,2,5,13.83,"Sí","Sí",4
"74","Hombre",19,5,"Sí",1,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",1.16,4,2,7,14.86,"Sí","No",5
"75","Mujer",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",6.34,5,3,6,16.04,"Sí","No",4
"76","Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.12,4,1,7,14.66,"Sí","No",4
"77","Hombre",19,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",2.18,4,3,5,11.44,"Sí","No",5
"78","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2.8,5,2,5,16.15,"No","No",4
"79","Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",1.02,4,1,6,15.56,"Sí","Sí",5
"80","Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",2.69,4,1,7,15.18,"Sí","Sí",5
"81","Hombre",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Académicas",2.29,5,4,6,16.66,"Sí","No",4
"82","Hombre",19,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.33,5,1,5,15.99,"No","Sí",2
"83","Hombre",19,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Académicas",1.89,3,4,5,17.61,"No","No",4
"84","Mujer",19,5,"Sí",6,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",3.92,3,3,5,15.97,"Sí","Sí",6
"85","Mujer",19,5,"Sí",3,"Actividades Académicas","Actividades Académicas",6.23,4,4,6,16.69,"Sí","No",3
"86","Mujer",19,5,"Sí",6,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.78,4,3,4,14.83,"No","No",4
"87","Mujer",19,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",4.75,4,3,4,14.25,"No","No",5
"88","Mujer",19,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas","Actividades Deportivas/Físicas",5.48,5,1,4,16.64,"Sí","Sí",3
"89","Mujer",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",5.99,5,2,6,11.89,"Sí","Sí",4
"90","Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.75,5,1,6,18.01,"No","Sí",4
"91","Hombre",19,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",2.16,4,2,6,19.19,"No","No",4
"92","Mujer",20,5,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.07,5,3,6,17.01,"Sí","No",5
"93","Mujer",20,5,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",1.79,3,3,7,16.83,"Sí","No",6
"94","Hombre",20,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.48,4,3,8,17.45,"Sí","Sí",6
"95","Mujer",20,5,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5,5,2,6,17.72,"Sí","No",5
"96","Mujer",20,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",6.38,5,3,6,17.41,"No","No",3
"97","Hombre",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",2.85,3,4,7,15.16,"Sí","No",4
"98","Hombre",20,5,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2.78,3,3,7,6.55,"Sí","Sí",4
"99","Mujer",21,5,"Sí",4,"Actividades Académicas","Actividades Académicas",2.06,4,2,6,14.72,"No","No",6
"100","Hombre",21,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",2.6,4,1,7,16.79,"No","No",3
"101","Hombre",21,5,"Sí",3,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades Deportivas/Físicas",5.39,5,3,7,15.65,"Sí","No",4
"102","Hombre",22,5,"Sí",1,"Actividades Académicas","Actividades Académicas",1.6,2,1,6,16.66,"No","No",6
"103","Mujer",22,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",7.83,5,1,4,13.44,"Sí","No",4
"104","Hombre",23,5,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.24,5,3,5,16.94,"Sí","No",4
"105","Hombre",23,5,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.92,5,5,8,16.55,"Sí","No",5
"106","Mujer",24,5,"Sí",2,"Actividades de Ocio, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5.22,3,4,7,16.84,"Sí","No",3
"107","Mujer",20,6,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",3.39,5,2,5,17.3,"No","No",1
"108","Mujer",20,6,"Sí",3,"Emprendimiento/Trabajo","Actividades Académicas",5.76,5,2,4,15.15,"No","Sí",5
"109","Hombre",20,6,"Sí",3,"Actividades de Ocio, Emprendimiento/Trabajo","Actividades de Ocio",2.67,5,3,5,15.78,"No","No",6
"110","Mujer",20,6,"Sí",5,"Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.15,5,3,5,14.29,"No","No",3
"111","Hombre",20,6,"Sí",8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",7.23,3,3,7,15.28,"Sí","Sí",4
"112","Mujer",21,6,"Sí",4,"Actividades Académicas","Actividades Académicas",8.01,4,2,6,16.06,"Sí","No",5
"113","Hombre",22,6,"Sí",1,"Actividades Académicas","Actividades Académicas",1.26,4,5,4,12.01,"Sí","No",5
"114","Hombre",19,7,"Sí",5,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades Deportivas/Físicas",4.2,5,2,5,17.23,"No","No",1
"115","Mujer",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",2.02,4,3,7,17.6,"Sí","No",4
"116","Mujer",20,7,"Sí",2,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",1.01,5,2,6,15.03,"Sí","No",6
"117","Mujer",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",4.77,5,4,6,16.49,"Sí","No",5
"118","Hombre",20,7,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5.98,5,2,7,15.63,"Sí","No",4
"119","Hombre",20,7,"Sí",1,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",3.03,5,1,5,16.57,"No","No",4
"120","Hombre",20,7,"Sí",4,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.58,5,2,6,16.42,"Sí","No",5
"121","Hombre",21,7,"Sí",4,"Actividades Deportivas/Físicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5.65,4,4,6,16.06,"Sí","No",6
"122","Hombre",21,7,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2.94,5,2,4,13.95,"No","No",4
"123","Hombre",21,7,"Sí",2,"Actividades Deportivas/Físicas, Actividades de Ocio","Actividades de Ocio",2.51,4,1,5,13.84,"Sí","No",4
"124","Hombre",21,7,"Sí",2,"Actividades de Ocio, Actividades Académicas","Actividades Académicas",2.49,5,3,7,13.88,"Sí","No",3
"125","Hombre",22,7,"Sí",5,"Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades de Ocio",2.21,5,1,4,13.71,"No","No",2
"126","Mujer",22,7,"Sí",3,"Actividades Deportivas/Físicas, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",2.82,4,2,5,15.07,"Sí","No",5
"127","Hombre",21,8,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas","Actividades de Ocio",5.51,4,2,4,15.11,"Sí","Sí",5
"128","Hombre",24,8,"Sí",4,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Actividades Deportivas/Físicas",3.6,5,3,5,13.74,"No","No",4
"129","Hombre",22,9,"Sí",8,"Actividades Deportivas/Físicas, Actividades de Ocio, Actividades Académicas, Emprendimiento/Trabajo","Emprendimiento/Trabajo",5.07,4,2,4,16.12,"No","No",6
"130","Hombre",22,9,"Sí",9,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",5.08,5,1,3,15.17,"No","No",3
"131","Hombre",23,10,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",9.94,3,3,4,16.48,"No","No",2
"132","Hombre",29,10,"Sí",4,"Actividades Académicas, Emprendimiento/Trabajo","Actividades Académicas",4.47,4,4,5,15.95,"Sí","No",4
"133","Mujer",23,8,"Sí",2,"Actividades Académicas","Actividades Académicas",4.27,5,1,6,15.29,"No","No",5
"134","Mujer",19,4,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.25,5,2,5,12.58,"No","Sí",6
"135","Mujer",20,5,"Sí",4,"Actividades Académicas","Actividades Académicas",3.87,5,3,5,18.2,"No","No",4
"136","Hombre",19,2,"Sí",5,"Actividades Académicas","Actividades Académicas",3.59,5,5,7,15.27,"No","No",4
"137","Hombre",18,2,"Sí",1,"Actividades Académicas","Actividades Académicas",3.55,5,1,6,15,"Sí","No",3
"138","Mujer",20,5,"Sí",3,"Actividades Académicas","Actividades Académicas",3.31,4,4,6,16.15,"No","No",6
"139","Hombre",18,2,"Sí",3,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.96,4,2,4,14.24,"No","No",1
"140","Hombre",20,5,"Sí",2,"Actividades Académicas","Actividades Académicas",4.02,4,2,7,13.92,"Sí","Sí",6
"141","Hombre",19,5,"Sí",2,"Actividades Académicas","Actividades Académicas",4.38,3,3,8,14.33,"No","Sí",3
"142","Hombre",19,3,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.37,5,1,6,16.85,"No","No",5
"143","Hombre",19,5,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.93,3,1,5,16.28,"Sí","No",4
"144","Hombre",23,5,"Sí",5,"Actividades Académicas","Actividades Académicas",4.95,5,2,7,15.75,"No","No",5
"145","Hombre",19,4,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.54,4,3,7,17.41,"No","No",7
"146","Mujer",18,4,"Sí",6,"Actividades de Ocio","Actividades de Ocio",3.9,5,2,5,16.04,"No","No",5
"147","Hombre",20,5,"Sí",1,"Actividades Académicas","Actividades Académicas",4.22,3,3,5,15.47,"No","No",2
"148","Hombre",19,4,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.42,4,3,7,12.35,"No","No",6
"149","Hombre",20,6,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.89,5,3,8,13.56,"No","Sí",4
"150","Hombre",18,4,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.13,5,5,8,14.5,"No","No",5
"151","Hombre",18,4,"Sí",2,"Actividades Académicas","Actividades Académicas",3.28,5,4,6,15.38,"No","No",5
"152","Hombre",19,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",4.38,4,2,6,19.83,"No","No",6
"153","Mujer",18,4,"Sí",4,"Actividades Académicas","Actividades Académicas",3.13,5,2,6,14.34,"No","No",6
"154","Hombre",19,4,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.83,3,2,5,17.92,"No","No",4
"155","Hombre",19,4,"Sí",5,"Actividades Académicas","Actividades Académicas",3.66,4,2,4,15.32,"No","No",4
"156","Hombre",20,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.84,5,2,7,15.4,"No","No",3
"157","Mujer",20,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",3.23,3,1,7,16.78,"No","No",4
"158","Mujer",22,5,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.34,5,3,4,14.71,"No","No",3
"159","Mujer",20,4,"Sí",4,"Actividades de Ocio","Actividades de Ocio",4.8,4,1,8,12.16,"Sí","No",6
"160","Mujer",22,6,"Sí",4,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.45,5,3,5,14.71,"No","No",5
"161","Hombre",22,7,"Sí",2,"Emprendimiento/Trabajo, Actividades de Ocio","Emprendimiento/Trabajo",4.62,5,3,6,14.93,"Sí","No",3
"162","Hombre",21,5,"Sí",1,"Actividades de Ocio","Actividades de Ocio",4.84,5,1,7,17.6,"No","No",3
"163","Mujer",19,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.74,4,1,5,17.28,"No","No",3
"164","Hombre",17,1,"Sí",1,"Actividades Académicas","Actividades Académicas",4.15,5,4,5,16.43,"No","No",3
"165","Hombre",20,6,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",5,4,1,7,14.97,"No","Sí",4
"166","Hombre",19,3,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.29,4,3,6,12.29,"No","No",3
"167","Hombre",22,6,"Sí",3,"Actividades Académicas","Actividades Académicas",4.9,5,3,6,16.02,"No","No",6
"168","Hombre",18,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.59,5,4,5,17.93,"No","No",5
"169","Hombre",19,3,"Sí",2,"Actividades de Ocio","Actividades de Ocio",5.08,5,1,6,15.11,"Sí","No",7
"170","Mujer",19,3,"Sí",4,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.7,5,1,7,14.41,"No","No",4
"171","Hombre",20,5,"Sí",4,"Actividades Académicas","Actividades Académicas",4.21,3,5,6,16.09,"No","No",3
"172","Mujer",19,5,"Sí",3,"Actividades Académicas","Actividades Académicas",3.91,2,1,5,17.39,"No","No",3
"173","Hombre",18,3,"Sí",2,"Actividades Académicas","Actividades Académicas",3.58,5,1,6,16.42,"No","No",3
"174","Mujer",19,4,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.06,3,2,7,17.27,"No","No",2
"175","Hombre",19,5,"Sí",5,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.54,4,5,6,13.74,"Sí","No",4
"176","Hombre",25,9,"Sí",3,"Actividades de Ocio","Actividades de Ocio",3.82,5,4,7,16.35,"No","No",5
"177","Hombre",20,5,"Sí",1,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",3.27,3,5,4,17.76,"No","No",5
"178","Hombre",21,5,"Sí",2,"Actividades de Ocio","Actividades de Ocio",3.62,4,2,7,14.83,"No","Sí",2
"179","Hombre",22,6,"Sí",2,"Emprendimiento/Trabajo","Emprendimiento/Trabajo",4.71,5,2,5,16.78,"No","No",4
"180","Hombre",20,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",5,5,2,6,18.28,"No","Sí",4
"181","Hombre",20,5,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.95,4,2,8,13.94,"No","Sí",2
"182","Hombre",19,4,"Sí",1,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.69,4,3,6,19.15,"No","No",5
"183","Hombre",20,6,"Sí",1,"Actividades Académicas","Actividades Académicas",4.02,4,4,6,17.97,"No","No",4
"184","Hombre",20,5,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",3.83,5,3,7,14.76,"No","No",2
"185","Hombre",20,5,"Sí",2,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",4.94,4,3,5,16.81,"No","No",6
"186","Hombre",19,4,"Sí",3,"Actividades de Ocio","Actividades de Ocio",4.72,4,3,6,17.96,"No","No",4
"187","Mujer",19,5,"Sí",3,"Actividades Deportivas/Físicas","Actividades Deportivas/Físicas",5.32,5,3,7,15.56,"No","No",5
