Marca temporal,Ciclo de ingreso,"Según su apreciación, ¿en qué parte del día tiene la peor conectividad a internet?",Cantidad de cursos matriculados en el ciclo 2022-1,¿Cuántas personas viven con usted?,Distrito de Lima Metropolitana,"Si no reside en Lima, escriba en qué Departamento o País se encuentra. De otro modo, por favor no responda y proceda a la siguiente pregunta","Mayormente, ¿qué tipo de conexión utiliza?",Opinión sobre la calidad del internet en relación a su desempeño académico,"Aproximadamente, ¿cuántos equipos electrónicos en promedio permanecen conectados al internet de su hogar?","En promedio, ¿cuántas horas al día utiliza internet con fines académicos? (Estudio, clases, investigación, etc)","En promedio, ¿cuántas horas al día utiliza internet como medio de entretenimiento?",¿Alguna vez ha sido incapaz de asistir a una clase o participar en la misma debido a una mala conectividad?,"En promedio, ¿cuántas veces ha sido incapaz de rendir una prueba debido a una mala conexión?",¿Cuenta con alguna conexión alternativa a internet en casos de emergencia?,Operador de su internet,"Resultado de la variable ""PING"" (ms)","Resultado de la variable ""DOWNLOAD"" (Mbps)","Resultado de la variable ""UPLOAD"" (Mbps)",¿Cuál es el menor ciclo correspondiente a los cursos que actualmente lleva o le quedan por aprobar?,Cantidad de cursos matriculados en el último ciclo regular que participó,Cantidad de cursos aprobados en el último ciclo regular que participó,Promedio ponderado del último ciclo que culminó
29/04/2022 20:26:29,2021-1,Madrugada,4,5,MIRAFLORES,,Red wifi,2,5,10,2,Sí,Nunca me ha pasado,Sí,Movistar,11,121.65,14.75,1,6,6,17.61
30/04/2022 8:28:36,2018-2,Noche,5,4,CHORRILLOS,,Red wifi,5,15,3,5,No,Nunca me ha pasado,Sí,Claro,15,73,20,5,4,4,15.6
30/04/2022 9:03:50,2020-2,Tarde,8,4,SAN JUAN DE LURIGANCHO,,Red wifi,5,4,6.5,1.5,Sí,2,Sí,Claro,13,108.84,33.15,1,7,5,13.64
30/04/2022 13:55:55,2020-2,Tarde,5,2,COMAS,,Red wifi,4,7,12,4,No,Nunca me ha pasado,No,Otro,4,31.03,31.84,3,6,6,15
30/04/2022 15:19:54,2021-1,Tarde,5,4,MAGDALENA DEL MAR,,Red wifi,5,15,5,2,No,Nunca me ha pasado,Sí,Claro,6,32.52,31.78,5,5,4,13.36
1/05/2022 11:21:36,2019-2,Mañana,5,3,SAN MIGUEL,,Red wifi,3,6,9,7,Sí,Nunca me ha pasado,Sí,Claro,9,151.8,31.62,4,5,5,16.07
1/05/2022 13:00:32,2021-1,Noche,6,3,VILLA EL SALVADOR,,Cable Ethernet,6,6,10,4,Sí,Nunca me ha pasado,Sí,Movistar,8,75.94,33.33,3,6,6,17.85
1/05/2022 16:45:20,2021-1,Mañana,5,4,CHORRILLOS,Lima,Cable Ethernet,6,8,8,6,Sí,Nunca me ha pasado,Sí,Movistar,10,78.53,33.48,3,7,5,12.27
1/05/2022 20:31:48,2020-2,Mañana,7,5,PUEBLO LIBRE,,Cable Ethernet,5,9,8,3,Sí,2,Sí,Otro,1,95,94,3,7,7,15.5
1/05/2022 20:58:31,2020-2,Noche,7,5,PUEBLO LIBRE,,Cable Ethernet,5,9,5,2,Sí,3,Sí,Otro,1,171,178,3,7,7,17.4
2/05/2022 13:11:43,2018-1,Tarde,5,3,LOS OLIVOS,,Red wifi,5,6,8,3,Sí,1,Sí,Claro,10,105.55,13.19,4,4,4,17
2/05/2022 14:59:03,2021-1,Madrugada,6,Vivo solo,MIRAFLORES,,Red wifi,3,2,7,2,Sí,5,Sí,Movistar,34,33.1,28.8,3,7,7,15.5
2/05/2022 19:42:28,2020-2,Mañana,6,Vivo solo,BARRANCO,,Red wifi,6,3,6,6,Sí,2,Sí,Movistar,20,73.05,13.55,3,6,6,15.17
2/05/2022 19:42:33,2020-2,Mañana,7,5,LOS OLIVOS,,Red wifi,6,8,7,3,Sí,1,Sí,Claro,10,70.35,20.32,3,7,6,15.17
2/05/2022 20:46:50,2021-1,Mañana,7,2,SURQUILLO,Departamento-Lima,Red wifi,4,6,10,3,Sí,1,No,Movistar,13,46.19,33.32,2,6,4,15.29
3/05/2022 9:22:00,2021-1,Tarde,5,4,LIMA,-,Red wifi,6,10,8,4,Sí,2,No,Claro,11,94.37,33.14,2,5,5,18.41
3/05/2022 17:50:15,2021-1,Mañana,7,4,SURQUILLO,,Red wifi,5,5,6,4,Sí,2,Sí,Movistar,6,73.84,33.20,2,5,5,17.33
3/05/2022 18:01:31,2021-1,Tarde,5,2,LINCE,Departamento - Lima,Red wifi,4,6,3,6,Sí,5,Sí,Movistar,90,15,19,3,6,6,17.55
3/05/2022 18:02:01,2021-1,Mañana,5,3,SURQUILLO,,Red wifi,3,4,6,3,Sí,2,Sí,Movistar,28,20.62,20.62,3,5,6,16.53
3/05/2022 18:02:17,2021-1,Tarde,5,1,BARRANCO,,Red wifi,2,9,6,4,Sí,Nunca me ha pasado,Sí,Movistar,15,27.34,27.34,3,5,5,16.71
4/05/2022 14:03:28,2020-2,Noche,5,3,JESÚS MARÍA,,Red wifi,4,6,16,2,Sí,Nunca me ha pasado,Sí,Claro,35,12.16,12.16,3,7,7,17.7
4/05/2022 14:21:05,2021-1,Tarde,6,3,SAN JUAN DE MIRAFLORES,,Red wifi,6,8,5,2,Sí,1,Sí,Movistar,18,25.05,26.63,3,6,5,15
4/05/2022 15:15:14,2019-1,Tarde,4,2,MIRAFLORES,,Red wifi,0,4,4,8,Sí,4,No,Otro,30,27.46,12.3,4,4,3,13.46
4/05/2022 15:37:44,2020-2,Tarde,5,3,SAN BORJA,,Red wifi,2,7,8,4,No,Nunca me ha pasado,Sí,Movistar,14,43.21,30.01,4,6,6,18.42
4/05/2022 18:57:14,2021-1,Tarde,5,4,SAN ISIDRO,,Red wifi,3,4,7,2,Sí,4,No,Movistar,2,2,2,4,5,4,20
4/05/2022 19:00:14,2020-1,Tarde,6,4,LIMA,,Red wifi,3,11,5,10,Sí,Nunca me ha pasado,Sí,Movistar,85,7,7,1,6,6,18
4/05/2022 19:03:53,2021-1,Tarde,6,3,MIRAFLORES,,Red wifi,4,7,7,9,No,Nunca me ha pasado,Sí,Movistar,9,37,25.58,3,6,6,15.53
4/05/2022 19:05:10,2021-1,Tarde,4,3,LIMA,-,Red wifi,5,5,5,8,Sí,2,Sí,Movistar,11,22.14,74.06,2,6,6,17
4/05/2022 19:19:03,2021-1,Mañana,5,4,LIMA,,Cable Ethernet,0,7,10,2,Sí,5,Sí,Movistar,11,17,18,3,5,5,16
4/05/2022 19:26:31,2021-1,Noche,6,1,MIRAFLORES,,Red wifi,2,4,6,3,Sí,1,Sí,Movistar,14,3.76,3.76,3,6,6,17
4/05/2022 20:32:11,2020-2,Mañana,5,7,CHORRILLOS,,Red wifi,5,5,5,5,No,2,Sí,Otro,5,81.96,96.59,1,5,5,20
4/05/2022 21:44:06,2020-1,Noche,7,1,SANTIAGO DE SURCO,,Red wifi,6,5,10,2,Sí,4,Sí,Claro,13,44.70,0.41,1,7,6,14
4/05/2022 22:50:37,2021-1,Mañana,6,3,SAN ISIDRO,,Red wifi,5,4,7,10,Sí,2,Sí,Claro,15,37.91,37.9,4,6,6,16
5/05/2022 9:27:43,2021-1,Tarde,7,5,LIMA,,Red wifi,1,4,9,2,Sí,Nunca me ha pasado,Sí,Movistar,10,43.87,43.87,1,8,8,16
5/05/2022 9:45:14,2020-1,Tarde,0,4,PUEBLO LIBRE,,Red wifi,3,10,4,6,Sí,1,No,Claro,15,55,55,2,5,5,15
5/05/2022 9:53:17,2021-1,Tarde,4,4,JESÚS MARÍA,,Red wifi,5,8,8,6,Sí,Nunca me ha pasado,Sí,Claro,14,1.20,1.20,3,5,5,18
5/05/2022 9:58:34,2021-2,Tarde,6,3,JESÚS MARÍA,,Red wifi,4,2,8,3,Sí,2,Sí,Movistar,14,18.66,18.66,3,6,6,17
5/05/2022 10:29:43,2021-2,Madrugada,5,6,PUEBLO LIBRE,,Cable Ethernet,4,7,15,10,Sí,Nunca me ha pasado,No,Movistar,32,75.39,18.47,2,5,5,18.25
5/05/2022 10:53:26,2021-1,Tarde,6,3,JESÚS MARÍA,,Red wifi,5,5,6,3,Sí,Nunca me ha pasado,Sí,Claro,23,2.13,3.58,2,7,7,16.8
5/05/2022 18:49:22,2021-2,Tarde,6,5,No vivo en Lima provincia,Departamento - Cuzco,Cable Ethernet,4,10,12,2,Sí,2,Sí,Movistar,19,0.48,0.69,2,7,7,15.90
6/05/2022 16:16:57,2020-2,Tarde,6,4,ATE,,Cable Ethernet,4,5,8,4,Sí,Nunca me ha pasado,Sí,Entel,4,38.97,37.62,3,8,8,17.17
11/05/2022 8:34:10,2020-1,Mañana,5,4,PUEBLO LIBRE,,Cable Ethernet,4,8,4,4,Sí,2,Sí,Otro,15,72.27,29.94,1,6,6,17.3
18/06/2022 12:00:00,2015-1,Tarde,8,Vivo solo,SANTIAGO DE SURCO,,Red wifi,3,3,3,4,No,Nunca me ha pasado,Sí,Otro,3,76.75,34,5,1,1,15.78
18/06/2022 12:02:45,2021-1,Noche,4,Más de 10,MIRAFLORES,,Red wifi,6,Más de 20,8,3,Sí,1,Sí,Movistar,11,75.42,33.12,3,6,6,17.15
18/06/2022 18:19:38,2021-1,Noche,5,4,SANTIAGO DE SURCO,,Cable Ethernet,0,10,5,8,Sí,1,No,Movistar,28,87.81,10.12,1,5,5,1
18/06/2022 18:48:57,2021-1,Mañana,5,3,SANTIAGO DE SURCO,,Cable Ethernet,6,11,4,3,Sí,3,Sí,Movistar,14,149.56,33.52,1,5,5,17
18/06/2022 19:44:12,2018-2,Tarde,6,5,SAN MARTÍN DE PORRES,Departamento - Lima,Red wifi,3,4,12,2,Sí,2,Sí,Movistar,7,50.18,26.58,1,6,6,18
