Ingreso,Peor_Conectividad,Actuales_Cursos,Convivientes,Distrito,Residencia,Tipo_Conexion,Opinion,Equipos_Conectados,Estudio_Horas,Ocio_Horas,Inasistencia,Pruebas_Perdidas,Alternativa,Operador,Ping,Download,Upload,Menor_Ciclo,Pasados_Cursos,Pasados_A_Cursos,Promedio
2020-1,Tarde,6,4,LIMA,NA,Red wifi,3,11,5,10,Sí,0,Sí,Movistar,85,7,7,1,6,6,18
2021-1,Tarde,6,3,MIRAFLORES,NA,Red wifi,4,7,7,9,No,0,Sí,Movistar,9,37,25.58,3,6,6,15.53
2021-1,Tarde,4,3,LIMA,NA,Red wifi,5,5,5,8,Sí,2,Sí,Movistar,11,22.14,74.06,2,6,6,17
2021-1,Mañana,5,4,LIMA,NA,Cable Ethernet,0,7,10,2,Sí,5,Sí,Movistar,11,17,18,3,5,5,16
2021-1,Noche,6,1,MIRAFLORES,NA,Red wifi,2,4,6,3,Sí,1,Sí,Movistar,14,3.76,3.76,3,6,6,17
2020-2,Mañana,5,7,CHORRILLOS,NA,Red wifi,5,5,5,5,No,2,Sí,Otro,5,81.96,96.59,1,5,5,20
2020-1,Noche,7,1,SANTIAGO DE SURCO,NA,Red wifi,6,5,10,2,Sí,4,Sí,Claro,13,44.7,0.41,1,7,6,14
2021-1,Mañana,6,3,SAN ISIDRO,NA,Red wifi,5,4,7,10,Sí,2,Sí,Claro,15,37.91,37.9,4,6,6,16
2021-1,Tarde,7,5,LIMA,NA,Red wifi,1,4,9,2,Sí,0,Sí,Movistar,10,43.87,43.87,1,8,8,16
2020-1,Tarde,0,4,PUEBLO LIBRE,NA,Red wifi,3,10,4,6,Sí,1,No,Claro,15,55,55,2,5,5,15
2021-1,Tarde,4,4,JESÚS MARÍA,NA,Red wifi,5,8,8,6,Sí,0,Sí,Claro,14,1.2,1.2,3,5,5,18
2021-2,Tarde,6,3,JESÚS MARÍA,NA,Red wifi,4,2,8,3,Sí,2,Sí,Movistar,14,18.66,18.66,3,6,6,17
2021-2,Madrugada,5,6,PUEBLO LIBRE,NA,Cable Ethernet,4,7,15,10,Sí,0,No,Movistar,32,75.39,18.47,2,5,5,18.25
2021-1,Tarde,6,3,JESÚS MARÍA,NA,Red wifi,5,5,6,3,Sí,0,Sí,Claro,23,2.13,3.58,2,7,7,16.8
2021-2,Tarde,6,5,No vivo en Lima provincia,Departamento - Cuzco,Cable Ethernet,4,10,12,2,Sí,2,Sí,Movistar,19,0.48,0.69,2,7,7,15.9
2020-2,Tarde,6,4,ATE,NA,Cable Ethernet,4,5,8,4,Sí,0,Sí,Entel,4,38.97,37.62,3,8,8,17.17
2020-1,Mañana,5,4,PUEBLO LIBRE,NA,Cable Ethernet,4,8,4,4,Sí,2,Sí,Otro,15,72.27,29.94,1,6,6,17.3
2015-1,Tarde,8,0,SANTIAGO DE SURCO,NA,Red wifi,3,3,3,4,No,0,Sí,Otro,3,76.75,34,5,1,1,15.78
2021-1,Noche,4,Atipico,MIRAFLORES,NA,Red wifi,6,Atipico,8,3,Sí,1,Sí,Movistar,11,75.42,33.12,3,6,6,17.15
2021-1,Noche,5,4,SANTIAGO DE SURCO,NA,Cable Ethernet,0,10,5,8,Sí,1,No,Movistar,28,87.81,10.12,1,5,5,1
2021-1,Mañana,5,3,SANTIAGO DE SURCO,NA,Cable Ethernet,6,11,4,3,Sí,3,Sí,Movistar,14,149.56,33.52,1,5,5,17
2018-2,Tarde,6,5,SAN MARTÍN DE PORRES,Departamento - Lima,Red wifi,3,4,12,2,Sí,2,Sí,Movistar,7,50.18,26.58,1,6,6,18
