Aula,Tipo,Piso,Hora,Fecha,Limpio,Ordenado,Aforo,Dispositivos,Pizarra,Alumnos,Ventanas,Tacho,UltimaClase,UltimaLimpieza,SiguienteClase,Uclaseh,Sclaseh,Intervalo
M602,Laboratorio,6,15,25/04/2023,4,No,Si,13,No,4,2,no,17,24/04/2023,163,"0,28","2,72","2,44"
A101,Aula normal,1,16,28/04/2023,1,Si,Si,3,Si,15,3,si,18,27/04/2023,42,"0,3","0,7","0,4"
A906,Aula normal,9,17,03/05/2023,2,Si,No,4,Si,11,3,si,18,03/05/2023,257,"0,3","4,28","3,98"
A801,Aula mixta,8,9,26/04/2023,4,No,Si,2,No,0,3,si,19,24/04/2023,41,"0,32","0,68","0,36"
A704,Aula normal,7,13,02/05/2023,3,Si,Si,5,Si,7,2,no,19,29/04/2023,41,"0,32","0,68","0,36"
A706,Aula normal,7,20,03/05/2023,5,Si,Si,3,Si,1,2,si,19,03/05/2023,739,"0,32","12,32",12
A903,Aula normal,9,13,29/04/2023,3,No,No,0,No,0,3,si,20,27/04/2023,1560,"0,33",26,"25,67"
A707,Aula normal,7,16,28/04/2023,2,Si,Si,3,Si,10,5,si,20,27/04/2023,40,"0,33","0,67","0,34"
A902,Aula normal,9,17,03/05/2023,3,Si,Si,3,Si,7,2,no,20,03/05/2023,160,"0,33","2,67","2,34"
A703,Aula normal,7,15,26/04/2023,3,No,Si,2,No,2,2,no,21,25/04/2023,97,"0,35","1,62","1,27"
A602,Aula pequeña,6,15,25/04/2023,4,No,Si,3,No,0,2,no,22,25/04/2023,180,"0,37",3,"2,63"
A705,Aula normal,7,12,26/04/2023,4,No,Si,3,Si,3,3,no,22,26/04/2023,38,"0,37","0,63","0,26"
A901,Aula normal,9,17,03/05/2023,2,No,Si,3,Si,6,0,si,23,03/05/2023,264,"0,38","4,4","4,02"
A902,Aula normal,9,13,29/04/2023,4,No,Si,4,Si,0,3,si,24,27/04/2023,1440,"0,4",24,"23,6"
A801,Aula mixta,8,13,02/05/2023,4,Si,Si,4,No,5,3,no,24,29/04/2023,96,"0,4","1,6","1,2"
A801,Aula mixta,8,20,02/05/2023,3,No,Si,1,Si,1,0,si,24,03/05/2023,668,"0,4","11,13","10,73"
A201,Aula normal,2,16,28/04/2023,2,Si,Si,5,Si,20,4,si,25,27/04/2023,35,"0,42","0,58","0,16"
A101,Aula normal,1,14,03/05/2023,2,No,No,3,No,3,4,no,25,02/05/2023,5,"0,42","0,08","0,34"
A704,Aula normal,7,17,03/05/2023,4,No,No,3,Si,12,1,si,25,03/05/2023,35,"0,42","0,58","0,16"
A203,Aula pequeña,2,20,27/04/2023,5,Si,Si,1,Si,0,4,no,26,27/04/2023,634,"0,43","10,57","10,14"
A707,Aula normal,7,15,25/04/2023,2,No,No,3,Si,19,2,no,27,24/04/2023,171,"0,45","2,85","2,4"
A201,Aula normal,2,10,02/05/2023,0,Si,No,2,Si,1,1,si,27,02/05/2023,507,"0,45","8,45",8
A201,Aula pequeña,2,16,03/05/2023,5,Si,Si,3,Si,0,1,si,27,02/05/2023,33,"0,45","0,55","0,1"
A804,Aula mixta,8,20,02/05/2023,2,No,Si,0,Si,2,1,si,27,02/05/2023,753,"0,45","12,55","12,1"
A706,Aula normal,7,15,26/04/2023,4,Si,Si,5,Si,7,3,no,28,25/04/2023,90,"0,47","1,5","1,03"
A908,Aula normal,9,19,27/04/2023,3,No,Si,1,Si,4,1,si,28,26/04/2023,1412,"0,47","23,53","23,06"
A201,Aula pequeña,2,20,27/04/2023,5,No,Si,1,Si,2,5,si,28,27/04/2023,632,"0,47","10,53","10,06"
A708,Aula normal,7,17,03/05/2023,3,Si,Si,2,Si,8,2,si,28,03/05/2023,149,"0,47","2,48","2,01"
M604,Laboratorio,6,9,26/04/2023,3,No,Si,15,Si,0,5,no,29,22/04/2023,151,"0,48","2,52","2,04"
A802,Aula mixta,8,13,02/05/2023,5,Si,Si,3,Si,3,2,no,29,02/05/2023,91,"0,48","1,52","1,04"
A1001,Aula normal,10,13,26/04/2023,1,No,No,1,Si,0,2,si,30,18/04/2023,90,"0,5","1,5",1
A704,Aula normal,7,17,03/05/2023,3,Si,Si,2,Si,5,1,no,30,03/05/2023,160,"0,5","2,67","2,17"
A804,Aula mixta,8,13,29/04/2023,4,No,Si,1,Si,1,3,si,32,28/04/2023,1260,"0,53",21,"20,47"
A908,Aula normal,9,13,02/05/2023,4,Si,Si,3,No,3,1,no,33,02/05/2023,27,"0,55","0,45","0,1"
A702,Aula normal,7,17,03/05/2023,2,Si,Si,3,Si,4,2,si,33,03/05/2023,315,"0,55","5,25","4,7"
A202,Aula normal,2,16,28/04/2023,1,Si,Si,5,Si,5,3,si,34,27/04/2023,86,"0,57","1,43","0,86"
A902,Aula normal,9,11,02/05/2023,5,Si,Si,5,Si,14,2,no,34,02/05/2023,26,"0,57","0,43","0,14"
A701,Aula normal,7,17,03/05/2023,3,No,Si,5,Si,5,4,si,35,03/05/2023,180,"0,58",3,"2,42"
A906,Aula normal,9,13,29/04/2023,5,No,No,3,Si,0,1,si,1500,28/04/2023,1320,25,22,3
A1002,Aula normal,10,13,26/04/2023,4,No,No,1,Si,11,3,si,36,26/04/2023,143,"0,6","2,38","1,78"
A902,Aula normal,9,15,25/04/2013,5,No,Si,3,No,14,1,si,37,25/04/2023,264,"0,62","4,4","3,78"
A803,Aula mixta,8,15,26/04/2023,4,Si,Si,5,Si,19,3,si,37,26/04/2023,22,"0,62","0,37","0,25"
A905,Aula normal,9,13,02/05/2023,5,Si,Si,4,Si,9,1,no,38,02/05/2023,22,"0,63","0,37","0,26"
A903,Aula normal,9,19,27/04/2023,3,No,No,4,Si,4,1,si,39,26/04/2023,1401,"0,65","23,35","22,7"
A401,Aula pequeña,4,9,26/04/2023,4,No,No,0,Si,3,4,si,40,24/04/2023,20,"0,67","0,33","0,34"
A705,Aula normal,7,13,29/04/2023,4,No,Si,4,Si,0,2,si,40,27/04/2023,1200,"0,67",20,"19,33"
A502,Aula pequeña,5,17,03/05/2023,3,Si,Si,2,Si,9,1,si,40,03/05/2023,60,"0,67",1,"0,33"
A704,Aula normal,7,11,26/04/2023,5,Si,Si,5,Si,7,3,si,41,26/04/2023,19,"0,68","0,32","0,36"
A801,Aula mixta,8,15,03/05/2023,4,Si,Si,4,Si,9,3,si,41,02/05/2023,1020,"0,68",17,"16,32"
A907,Aula normal,9,9,26/04/2023,5,Si,No,2,Si,7,1,no,42,25/04/2023,18,"0,7","0,3","0,4"
A906,Aula normal,9,12,27/04/2023,5,Si,Si,5,No,8,2,no,42,27/04/2023,78,"0,7","1,3","0,6"
A702,Aula normal,7,13,26/04/2023,4,Si,Si,3,No,3,2,no,43,25/04/2023,17,"0,72","0,28","0,44"
A702,Aula normal,7,13,29/04/2023,2,No,No,1,Si,0,3,si,44,28/04/2023,1140,"0,73",19,"18,27"
A707,Aula normal,7,15,27/04/2023,2,No,Si,3,Si,7,3,si,45,25/04/2023,75,"0,75","1,25","0,5"
A904,Aula normal,9,16,03/05/2023,5,No,Si,1,Si,10,0,si,46,03/05/2023,13,"0,77","0,22","0,55"
A701,Aula normal,7,13,29/04/2023,4,No,No,3,Si,0,2,si,48,28/04/2023,72,"0,8","1,2","0,4"
A402,Aula normal,4,16,28/04/2023,2,Si,Si,5,Si,20,3,si,48,27/04/2023,72,"0,8","1,2","0,4"
A501,Aula pequeña,5,17,03/05/2023,4,Si,Si,4,Si,10,2,si,49,03/05/2023,11,"0,82","0,18","0,64"
A704,Aula normal,7,17,28/04/2023,1,Si,No,5,Si,0,3,si,15,27/04/2023,45,"0,25","0,75","0,5"
A704,Aula normal,7,13,26/04/2023,5,Si,Si,5,Si,8,3,no,51,26/04/2023,9,"0,85","0,15","0,7"
A705,Aula mixta,8,13,26/04/2023,5,No,No,2,Si,6,3,si,52,26/04/2023,8,"0,87","0,13","0,74"
A707,Aula normal,7,19,27/04/2023,3,No,No,4,Si,0,3,si,52,25/04/2023,1388,"0,87","23,13","22,26"
A601,Aula pequeña,6,13,29/04/2023,5,Si,No,1,Si,0,0,si,55,26/04/2023,1020,"0,92",17,"16,08"
L403,Laboratorio,4,11,02/05/2023,2,Si,No,2,Si,0,2,si,60,02/05/2023,1560,1,26,25
A804,Aula mixta,8,11,02/05/2023,3,Si,Si,5,Si,2,2,si,60,02/05/2023,30,1,"0,5","0,5"
A601,Aula normal,6,16,28/04/2023,1,Si,No,3,Si,0,2,si,62,27/04/2023,58,"1,03","0,97","0,06"
A705,Aula normal,7,21,03/05/2023,4,No,No,2,Si,0,2,si,62,03/05/2023,602,"1,03","10,03",9
A708,Aula normal,7,14,26/04/2023,4,Si,Si,2,Si,2,3,no,63,25/04/2023,57,"1,05","0,95","0,1"
A705,Aula normal,7,20,27/04/2023,4,No,Si,4,Si,1,2,si,64,25/04/2023,596,"1,07","9,93","8,86"
A802,Aula mixta,8,15,27/04/2023,3,No,Si,4,Si,8,3,no,65,27/04/2023,895,"1,08","14,92","13,84"
A908,Aula normal,9,13,29/04/2023,5,Si,Si,1,Si,4,0,no,68,28/04/2023,1320,"1,13",22,"20,87"
M802,Aula mixta,8,14,26/04/2023,5,Si,Si,1,Si,1,2,si,74,26/04/2023,45,"1,23","0,75","0,48"
M301,Laboratorio,3,10,02/05/2023,3,Si,No,3,Si,0,2,si,15,02/05/2023,15,"0,25","0,25",0
A401,Aula pequeña,4,17,03/05/2023,5,No,Si,3,Si,7,4,si,75,03/05/2023,900,"1,25",15,"13,75"
A401,Aula pequeña,4,20,27/04/2023,2,No,No,4,Si,0,3,si,78,26/04/2023,642,"1,3","10,7","9,4"
A203,Aula normal,2,10,02/05/2023,5,Si,Si,2,Si,20,2,si,80,02/05/2023,80,"1,33","1,33",0
A908,Aula normal,9,15,27/04/2023,5,Si,Si,2,Si,6,3,si,82,26/04/2023,37,"1,37","0,62","0,75"
A202,Aula normal,2,10,02/05/2023,2,Si,Si,2,Si,3,2,si,84,02/05/2023,502,"1,4","8,37","6,97"
A901,Aula normal,9,13,29/04/2023,3,No,No,4,Si,3,2,si,86,27/04/2023,94,"1,43","1,57","0,14"
A903,Aula normal,9,15,27/04/2023,3,No,No,1,Si,4,3,si,87,26/04/2023,33,"1,45","0,55","0,9"
A804,Aula mixta,8,12,03/05/2023,5,Si,Si,1,Si,4,2,si,88,02/05/2023,32,"1,47","0,53","0,94"
A707,Aula normal,7,17,03/05/2023,5,Si,Si,4,Si,4,3,si,89,03/05/2023,220,"1,48","3,67","2,19"
A101,Aula normal,1,10,02/05/2023,3,Si,Si,3,Si,12,1,si,93,02/05/2023,93,"1,55","1,55",0
A705,Aula normal,7,12,03/05/2023,4,No,Si,1,No,5,1,si,93,02/05/2023,26,"1,55","0,43","1,12"
A704,Aula normal,7,15,25/04/2023,5,Si,No,3,Si,3,0,no,94,25/04/2023,146,"1,57","2,43","0,86"
A903,Aula pequeña,9,15,03/05/2023,4,No,No,1,No,11,2,si,95,02/05/2023,24,"1,58","0,4","1,18"
A705,Aula normal,7,11,02/05/2023,0,Si,No,4,Si,0,1,si,96,02/05/2023,275,"1,6","4,58","2,98"
A703,Aula normal,7,17,03/05/2023,1,Si,No,3,Si,6,3,si,96,03/05/2023,840,"1,6",14,"12,4"
A801,Aula mixta,8,15,25/04/2023,5,No,Si,0,No,13,2,no,97,24/04/2023,83,"1,62","1,38","0,24"
A601,Aula pequeña,6,14,26/04/2023,5,No,No,2,Si,9,0,si,98,26/04/2023,351,"1,63","5,85","4,22"
A602,Aula pequeña,6,12,03/05/2023,4,No,No,4,Si,3,3,si,100,26/04/2023,1140,"1,67",19,"17,33"
A904,Aula normal,9,13,02/05/2023,5,Si,Si,4,No,10,3,no,101,02/05/2023,19,"1,68","0,32","1,36"
A901,Aula normal,9,13,26/04/2023,4,No,No,1,No,13,1,si,104,25/04/2023,105,"1,73","1,75","0,02"
A804,Aula mixta,8,19,27/04/2023,4,No,Si,4,No,1,3,si,106,27/04/2023,14,"1,77","0,23","1,54"
A707,Aula normal,7,13,29/04/2023,5,No,No,3,Si,1,1,si,107,28/04/2023,1140,"1,78",19,"17,22"
A901,Aula normal,9,13,02/05/2023,5,Si,Si,1,Si,2,1,no,108,02/05/2023,72,"1,8","1,2","0,6"
A706,Aula normal,7,16,03/05/2023,4,No,Si,5,Si,24,3,si,115,03/05/2023,2,"1,92","0,03","1,89"
A804,Aula mixta,8,13,26/04/2023,4,No,Si,1,Si,6,3,si,117,26/04/2023,3,"1,95","0,05","1,9"
A602,Aula pequeña,6,14,26/04/2023,3,No,No,3,Si,5,4,si,124,18/04/2023,296,"2,07","4,93","2,86"
A102,Aula normal,1,14,26/04/2023,5,No,No,2,No,14,2,si,136,25/04/2023,1294,"2,27","21,57","19,3"
A906,Aula normal,9,19,27/04/2023,5,No,No,2,Si,13,1,si,154,25/04/2023,1286,"2,57","21,43","18,86"
A708,Aula normal,7,13,29/04/2023,4,No,Si,4,Si,1,3,si,155,27/04/2023,1200,"2,58",20,"17,42"
A102,Aula normal,1,16,03/05/2023,4,No,Si,0,Si,16,2,si,156,03/05/2023,1200,"2,6",20,"17,4"
A102,Aula normal,1,10,02/05/2023,2,Si,Si,4,Si,9,2,si,159,02/05/2023,38,"2,65","0,63","2,02"
A706,Aula normal,7,15,03/05/2023,4,No,Si,4,Si,11,3,si,171,03/05/2023,9,"2,85","0,15","2,7"
A203,Aula pequeña,2,16,03/05/2023,5,No,No,1,Si,11,0,si,211,02/05/2023,90,"3,52","1,5","2,02"
A802,Aula mixta,8,15,27/04/2023,5,No,Si,4,Si,10,3,no,212,27/04/2023,25,"3,53","0,42","3,11"
A707,Aula normal,7,15,27/04/2023,4,No,Si,0,No,7,3,si,222,26/04/2023,738,"3,7","12,3","8,6"
A905,Aula normal,9,16,03/05/2023,4,No,Si,4,Si,22,3,si,225,02/05/2023,16,"3,75","0,27","3,48"
A708,Aula normal,7,19,27/04/2023,4,No,Si,3,Si,3,2,si,229,26/04/2023,1211,"3,82","20,18","16,36"
A601,Aula pequeña,6,15,27/04/2023,5,No,Si,4,Si,2,1,si,231,27/04/2023,188,"3,85","3,13","0,72"
A101,Aula normal,1,15,27/04/2023,4,No,No,4,Si,11,1,si,240,27/04/2023,180,4,3,1
A202,Aula pequeña,2,20,27/04/2023,5,Si,No,0,Si,0,0,si,273,27/04/2023,447,"4,55","7,45","2,9"
A203,Aula pequeña,2,17,03/05/2023,3,No,No,1,Si,15,1,si,278,02/05/2023,22,"4,63","0,37","4,26"
A601,Aula pequeña,6,17,03/05/2023,5,No,No,1,Si,4,1,si,330,02/05/2023,150,"5,5","2,5",3
A803,Aula mixta,8,15,03/05/2023,5,Si,Si,5,Si,5,2,si,345,02/05/2023,1020,"5,75",17,"11,25"
A102,Aula normal,2,17,03/05/2023,3,No,Si,1,Si,13,2,si,345,03/05/2023,1020,"5,75",17,"11,25"
A402,Aula pequeña,4,17,03/05/2023,2,Si,Si,3,Si,6,3,si,390,03/05/2023,900,"6,5",15,"8,5"
A102,Aula normal,1,19,27/04/2023,2,No,No,5,No,12,2,si,440,25/04/2023,820,"7,33","13,67","6,34"
A102,Aula normal,1,20,27/04/2023,1,No,No,4,No,5,2,si,519,25/04/2023,780,"8,65",13,"4,35"
A602,Aula normal,6,11,02/05/2023,2,Si,Si,3,Si,20,1,si,540,02/05/2023,520,9,"8,67","0,33"
L404,Laboratorio,4,10,02/05/2023,4,Si,Si,2,Si,0,1,si,600,02/05/2023,1620,10,27,17
A601,Aula normal,6,11,02/05/2023,0,Si,Si,2,Si,4,1,si,610,02/05/2023,240,"10,17",4,"6,17"
A102,Aula normal,1,9,26/04/2023,5,No,No,0,Si,10,1,si,945,25/04/2023,15,"15,75","0,25","15,5"
A1002,Aula normal,10,12,29/04/2023,5,Si,No,0,Si,0,3,no,1020,26/04/2023,180,17,3,14
A904,Aula normal,9,13,29/04/2023,5,Si,No,3,Si,2,0,no,1260,28/04/2023,1380,21,23,2
