Código del producto,Descripción del producto,Valor importado en 2002; miles de Dólar Americano,Valor importado en 2003; miles de Dólar Americano,Valor importado en 2004; miles de Dólar Americano,Valor importado en 2005; miles de Dólar Americano,Valor importado en 2006; miles de Dólar Americano,Valor importado en 2007; miles de Dólar Americano,Valor importado en 2008; miles de Dólar Americano,Valor importado en 2009; miles de Dólar Americano,Valor importado en 2010; miles de Dólar Americano,Valor importado en 2011; miles de Dólar Americano,Valor importado en 2012; miles de Dólar Americano,Valor importado en 2013; miles de Dólar Americano,Valor importado en 2014; miles de Dólar Americano,Valor importado en 2015; miles de Dólar Americano,Valor importado en 2016; miles de Dólar Americano,Valor importado en 2017; miles de Dólar Americano,Valor importado en 2018; miles de Dólar Americano,Valor importado en 2019; miles de Dólar Americano,Valor importado en 2020; miles de Dólar Americano,Valor importado en 2021; miles de Dólar Americano
390120,Polietileno de densidad >= 0;94; en formas primarias,7582002,9174331,12270845,15342341,18597787,21691156,23741695,18700259,22406155,27429235,28121895,30527256,31714243,28517882,27168956,29344761,33206887,30591057,26872238,34356885
854449,Conductores eléctricos; para una tensión <= 80 V; sin piezas de conexión; n.c.o.p.,3157396,3458471,4152413,4882856,6433773,21657730,24956759,16342206,21495185,27365790,25965669,26366665,26910371,24077136,22627668,25664851,28613963,27030307,24427025,33758556
230400,Tortas y demás residuos sólidos de la extracción del aceite de soja (soya); incluso molidos ...,9336556,10611601,13815375,12341038,12604168,17142778,25415694,22849371,24141705,26601273,30684941,33737706,35339553,28828369,26150992,24806701,27789561,26419588,26451040,33694669
842139,Máquinas y aparatos para filtrar o depurar gases (exc. ​​Separadores de isótopos y filtros ...,5934491,6680823,7721550,8288198,10354539,13348110,14932415,11155624,13022026,16679604,16407342,17735957,20095626,19092651,19166079,20400845,23500113,25208947,27738380,33500183
721049,Productos planos de hierro o acero sin alear; de anchura >= 600 mm; laminados en frío o en ...,6765851,9546874,13418082,14667785,17517517,20913173,23200166,14378186,20331635,24376444,22769432,22875070,23738483,19874030,19543013,24738991,25705003,22773167,18650950,33390043
390110,Polietileno de densidad < 0;94; en formas primarias,8745624,9953722,14079176,16455429,18770085,22535424,24839991,18835930,26132849,30249521,28116293,29516903,31100241,27050688,26403744,28055856,29244092,25821915,22885820,33355829
870431,Vehículos automóviles para el transporte de mercancías; con solo motor de émbolo (pistón) de ...,20811961,20198992,20349765,22423218,24394606,29107839,23160356,17728518,24145336,23921448,27725200,29958368,29972087,29903223,32185472,34275628,33976649,37667752,28246148,33244416
840999,"""Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ...",11600239,14604422,17716008,20465228,22545964,27733753,31598344,22621088,28468137,36446217,34211484,32952163,34251542,30409960,28732788,32024836,34650047,32029389,27153691,33228699
711031,Rodio; en bruto o en polvo,755368,530490,1054978,2284745,5113855,7530555,8082206,1959006,3248047,2697814,1622773,1162073,1379428,1174208,897538,1440271,3044054,5497157,16259794,32862883
901839,Agujas; catéteres; cánulas e instrumentos simil.; para uso médico (exc. jeringas; agujas tubulares ...,6871673,8523352,11101056,13411788,14186765,13931051,16677208,16333557,17288670,18668401,20021048,21500477,22843148,22895327,24866659,26117375,28598448,30496885,28917996,32861589
870120,Tractores de carretera para semirremolques,8958017,10817524,15012917,16442847,20089890,25458319,28907270,12005290,16878259,26649396,25430311,26546263,28196292,27717048,24873299,27965394,33527381,32330871,23504627,32398381
847180,Unidades de máquinas automáticas para tratamiento o procesamiento de datos; digitales (exc. ...,17365229,20159180,25228159,28188376,30896286,20166819,17713522,13546713,15211870,16684541,16844529,17381940,17672743,17717665,17397840,19708685,22404728,22182314,24777115,32351826
870830,"""Frenos y servofrenos; así como sus partes; destinados a la industria de montaje: de motocultores; ...",,,,,,21627798,23615629,18504006,24348876,27988283,27445021,28903974,30055139,27961504,28266318,30325672,32539701,31330923,27137248,32313538
840991,"""Partes identificables como destinadas exclusiva o principalmente a motores de émbolo """"pistón"""" ...",16599748,19161829,22489143,24434761,26579548,30631732,30969703,22103886,28597480,32489616,32648011,32621783,34073141,31367990,31050937,32393226,34192531,32310823,27130558,32295390
300212,Antisueros y otras fracciones de la sangre,,,,,,,,,,,,,,66,110,26496676,27712036,30227073,30600209,32175022
610910,T-shirts y camisetas; de punto; de algodón,12343003,14791954,17732299,19610089,21600720,23447842,25290795,22152473,23918033,26268432,23711854,23880035,24913115,22839525,23041449,24819498,27554898,28815322,25135019,31012471
940190,Partes de asientos; n.c.o.p.,12563644,15078522,17323111,18241304,19917748,22189880,22264800,16640826,21925734,25168868,26282903,28278697,31150703,31005183,32732572,33611814,35280095,33628409,27273906,30765586
760612,"""Chapas y tiras; de aleaciones de aluminio; de espesor > 0;2 mm; cuadradas o rectangulares ...",7609404,8611084,10291293,12209327,15528884,18316288,18804777,12041273,16058577,20061592,18591272,19278460,20749715,21052775,20460037,23691333,27465627,25907351,22472583,30541804
940360,Muebles de madera (exc. de los tipos utilizados en oficinas; cocinas o dormitorios; así como ...,13591458,15610817,18258258,19808305,20979444,24053529,25036515,20298372,21962197,22922186,22449123,22794282,24072966,23005425,22523548,23975530,25483597,24986258,24450784,30155104
854233,Circuitos electrónicos integrados en forma de amplificadores,,,,,,6615851,6876428,6822988,10064281,10595127,13834215,24522430,13926868,16445608,16363095,17220961,18841229,18970355,23755983,29908506
611020,"""Suéteres """"jerseys""""; """"pullovers""""; cardiganes; chalecos y artículos simil.; de punto; de ...",14661938,16440257,17506894,18656035,20759219,23745981,26200823,23352331,24103419,25397202,22448434,23686792,23927368,21859866,20712167,21884319,24045660,25143651,22623797,29723820
840734,"""Motores de émbolo """"pistón"""" alternativo de encendido por chispa de encendido por chispa """"motores ...",22610863,22417708,24024667,25428492,26294244,29807119,28029035,20607723,28719637,33839603,33409759,33361210,33750212,30253908,31095396,32839295,36655490,34935679,28936785,29467645
854290,Partes de circuitos integrados y de microestructuras electrónicas; n.c.o.p.,30117464,30555895,31821646,33873545,35456779,36429153,36345430,25318903,33288179,24875473,28309004,33064755,34318898,31412477,27533985,26164111,30276096,25566846,24902912,29455550
293499,"""Ácidos nucleicos y sus sales; aunque no sean de constitución química definida; compuestos ...",11365477,12723844,14272426,14328612,16177032,18554647,22345704,18711613,19942991,19836522,17870588,17659661,18972996,20472089,16522728,15748022,15264744,17013629,23748157,29400367
950450,Consolas de videojuegos y máquinas (excepto los operados por cualquier medio de pago),,,,,,,,,,,17589679,15614691,17140562,15565893,14021437,20990142,22530346,18943845,22391278,29037109
903180,Instrumentos; máquinas y aparatos; no ópticos; para medida o control; n.c.o.p. de este capítulo,7974063,9633412,11377274,12011490,13797598,14848867,16157354,12308233,14900969,17720363,19928197,20248976,22179613,21424294,21960037,23241870,25305368,25651620,24934517,29026180
840820,"""Motores de émbolo """"pistón"""" de encendido por compresión """"motores diesel o semi-diesel""""; ...",11213954,15486813,20041733,22766504,25115689,29537803,30941876,18091903,25694337,32970960,31212911,32457787,33532712,31718961,30793866,32234793,33455586,30282470,24386962,28792321
843149,Partes de máquinas o aparatos de las partidas 8426; 8429 u 8430; n.c.o.p.,8174877,9449087,12457701,15650082,18679133,24537744,28134966,17016884,22803962,29669551,29120288,26594481,25819163,22242760,20367686,23612037,27717130,26422277,21978927,28501668
220421,Vino de uvas frescas; incl. encabezado; mosto de uva; en el que la fermentación se ha impedido ...,11939942,14038001,15761014,16477596,17515581,20634829,22351917,19863644,21142153,24489322,24205617,25249716,25406793,23576049,23706046,25433249,26725640,25787249,24715756,28481941
